colony-id,site,species,lat,lon
ACR-225,site2,Acropora,-17.4871,-149.88766
ACR-228,site2,Acropora,-17.4871,-149.88766
ACR-229,site2,Acropora,-17.4871,-149.88766
ACR-231,site2,Acropora,-17.4871,-149.88766
ACR-234,site2,Acropora,-17.4871,-149.88766
ACR-237,site2,Acropora,-17.4871,-149.88766
ACR-243,site2,Acropora,-17.4871,-149.88766
ACR-244,site2,Acropora,-17.4871,-149.88766
ACR-246,site2,Acropora,-17.4871,-149.88766
ACR-247,site2,Acropora,-17.4871,-149.88766
ACR-256,site2,Acropora,-17.4871,-149.88766
ACR-258,site2,Acropora,-17.4871,-149.88766
ACR-265,site2,Acropora,-17.4871,-149.88766
ACR-267,site2,Acropora,-17.4871,-149.88766
POC-200,site2,Pocillopora,,
POC-201,site2,Pocillopora,-17.48715998,-149.8873
POC-205,site2,Pocillopora,-17.48732996,-149.88795
POC-207,site2,Pocillopora,-17.48743004,-149.88823
POC-215,site2,Pocillopora,-17.48763003,-149.88742
POC-217,site2,Pocillopora,-17.48707004,-149.88794
POC-219,site2,Pocillopora,-17.48784,-149.88805
POC-222,site2,Pocillopora,-17.48763003,-149.8876
POC-232,site2,Pocillopora,-17.48712,-149.88855
POC-238,site2,Pocillopora,-17.48787001,-149.88751
POC-239,site2,Pocillopora,-17.48758997,-149.88762
POC-248,site2,Pocillopora,-17.48755996,-149.88783
POC-254,site2,Pocillopora,-17.48751998,-149.88795
POC-255,site2,Pocillopora,-17.48801,-149.88762
POC-259,site2,Pocillopora,-17.48740003,-149.88741
POR-209,site2,Porites,-17.48768996,-149.88777
POR-214,site2,Porites,-17.48721002,-149.88785
POR-216,site2,Porites,-17.48719996,-149.88776
POR-221,site2,Porites,-17.48725997,-149.88805
POR-224,site2,Porites,-17.48764001,-149.88753
POR-235,site2,Porites,-17.48738,-149.888
POR-236,site2,Porites,-17.48767999,-149.88765
POR-240,site2,Porites,-17.48751001,-149.88777
POR-242,site2,Porites,-17.48767999,-149.8878
POR-245,site2,Porites,-17.48766004,-149.88759
POR-251,site2,Porites,-17.48719996,-149.88805
POR-253,site2,Porites,-17.48721999,-149.88797
POR-260,site2,Porites,-17.48744999,-149.88794
POR-262,site2,Porites,-17.48709996,-149.88766
POR-266,site2,Porites,-17.48767002,-149.8875
ACR-343,site3,Acropora,-17.48150001,-149.84908
ACR-345,site3,Acropora,-17.48150001,-149.84908
ACR-347,site3,Acropora,-17.48150001,-149.84908
ACR-350,site3,Acropora,-17.48150001,-149.84908
ACR-351,site3,Acropora,-17.48150001,-149.84908
ACR-363,site3,Acropora,-17.48150001,-149.84908
ACR-364,site3,Acropora,-17.48150001,-149.84908
ACR-368,site3,Acropora,-17.48150001,-149.84908
ACR-374,site3,Acropora,-17.48150001,-149.84908
ACR-379,site3,Acropora,-17.48150001,-149.84908
ACR-389,site3,Acropora,-17.48150001,-149.84908
ACR-390,site3,Acropora,-17.48150001,-149.84908
ACR-393,site3,Acropora,-17.48150001,-149.84908
ACR-396,site3,Acropora,-17.48150001,-149.84908
POC-346,site3,Pocillopora,-17.48160998,-149.84874
POC-358,site3,Pocillopora,-17.48137001,-149.84897
POC-359,site3,Pocillopora,-17.48147998,-149.84909
POC-366,site3,Pocillopora,-17.48149004,-149.84929
POC-369,site3,Pocillopora,-17.48160998,-149.84926
POC-371,site3,Pocillopora,-17.48144997,-149.84911
POC-372,site3,Pocillopora,-17.48144,-149.84915
POC-373,site3,Pocillopora,-17.48180998,-149.84882
POC-375,site3,Pocillopora,-17.48183001,-149.84923
POC-377,site3,Pocillopora,-17.48137001,-149.84897
POC-378,site3,Pocillopora,-17.48147001,-149.84924
POC-386,site3,Pocillopora,-17.48150999,-149.84885
POC-391,site3,Pocillopora,-17.48192003,-149.84918
POC-394,site3,Pocillopora,-17.48141997,-149.84914
POC-395,site3,Pocillopora,-17.48137001,-149.84897
POR-338,site3,Porites,-17.48166002,-149.84914
POR-340,site3,Porites,-17.48193,-149.84929
POR-341,site3,Porites,-17.48160998,-149.84927
POR-349,site3,Porites,-17.48138996,-149.84888
POR-353,site3,Porites,-17.48141997,-149.84926
POR-354,site3,Porites,-17.48151996,-149.84921
POR-355,site3,Porites,-17.48151996,-149.84941
POR-357,site3,Porites,-17.48150001,-149.84908
POR-362,site3,Porites,-17.48164997,-149.84918
POR-365,site3,Porites,-17.48176002,-149.84917
POR-367,site3,Porites,-17.48151996,-149.84941
POR-381,site3,Porites,-17.48143002,-149.84903
POR-383,site3,Porites,-17.48192003,-149.84917
POR-384,site3,Porites,-17.48192003,-149.84924
POR-385,site3,Porites,NA,NA
ACR-175,site1,Acropora,,
ACR-176,site1,Acropora,,
ACR-187,site1,Acropora,,
ACR-173,site1,Acropora,,
ACR-185,site1,Acropora,,
ACR-145,site1,Acropora,,
ACR-180,site1,Acropora,,
ACR-150,site1,Acropora,,
ACR-190,site1,Acropora,,
ACR-140,site1,Acropora,,
ACR-139,site1,Acropora,,
ACR-165,site1,Acropora,,
ACR-186,site1,Acropora,,
ACR-178,site1,Acropora,,
ACR-193,site1,Acropora,,
ACR-51,site1,Acropora,,
POC-44,site1,Pocillopora,,
POC-45,site1,Pocillopora,,
POC-68,site1,Pocillopora,,
POC-52,site1,Pocillopora,,
POC-56,site1,Pocillopora,,
POC-48,site1,Pocillopora,,
POC-50,site1,Pocillopora,,
POC-55,site1,Pocillopora,,
POC-47,site1,Pocillopora,,
POC-40,site1,Pocillopora,,
POC-43,site1,Pocillopora,,
POC-57,site1,Pocillopora,,
POC-42,site1,Pocillopora,,
POC-41,site1,Pocillopora,,
POC-53,site1,Pocillopora,,
POR-71,site1,Porites,,
POR-72,site1,Porites,,
POR-74,site1,Porites,,
POR-77,site1,Porites,,
POR-83,site1,Porites,,
POR-80,site1,Porites,,
POR-78,site1,Porites,,
POR-79,site1,Porites,,
POR-70,site1,Porites,,
POR-75,site1,Porites,,
POR-69,site1,Porites,,
POR-76,site1,Porites,,
POR-81,site1,Porites,,
POR-82,site1,Porites,,
POR-73,site1,Porites,,
