well,colony_id
A1,BK
A2,BK
A3,POR-77
A4,POR-77
A5,ACR-173
A6,ACR-173
A7,ACR-175
A8,ACR-175
A9,POR-83
A10,POR-83
A11,POC-68
A12,POC-68
B1,BK
B2,BK
B3,POR-72
B4,POR-72
B5,POC-50
B6,POC-50
B7,POC-45
B8,POC-45
B9,ACR-186
B10,ACR-186
B11,POC-57
B12,POC-57
C1,POR-74
C2,POR-74
C3,ACR-145
C4,ACR-145
C5,POR-82
C6,POR-82
C7,ACR-185
C8,ACR-185
C9,POC-53
C10,POC-53
C11,POR-367
C12,POR-367
D1,ACR-225
D2,ACR-225
D3,POC-386
D4,POC-386
D5,POR-70
D6,POR-70
D7,ACR-374
D8,ACR-374
D9,POC-375
D10,POC-375
D11,POC-359
D12,POC-359
E1,POR-338
E2,POR-338
E3,POR-365
E4,POR-365
E5,POR-349
E6,POR-349
E7,ACR-351
E8,ACR-351
E9,POR-75
E10,POR-75
E11,POC-47
E12,POC-47
F1,POR-80
F2,POR-80
F3,ACR-170
F4,ACR-170
F5,POC-48
F6,POC-48
F7,POC-42
F8,POC-42
F9,POR-76
F10,POR-76
F11,POC-40
F12,POC-40
G1,POC-56
G2,POC-56
G3,POC-44
G4,POC-44
G5,ACR-140
G6,ACR-140
G7,ACR-180
G8,ACR-180
G9,POC-55
G10,POC-55
G11,ACR-150
G12,ACR-150
H1,POR-69
H2,POR-69
H3,POR-78
H4,POR-78
H5,POC-41
H6,POC-41
H7,ACR-187
H8,ACR-187
H9,ACR-51
H10,ACR-51
H11,POR-73
H12,POR-73
