Serial Number:20697597 --

"Date Time, GMT -1000","Temp, (*C)","mV","pH","Water Detect","Button Down","Button Up","Host Connect","EOF"
2019-10-24 20:19:49,27.54,-71.38,8.07, , , , , 
2019-10-24 20:29:49,27.44,-71.44,8.07, , , , , 
2019-10-24 20:39:49,27.37,-71.47,8.07, , , , , 
2019-10-24 20:44:14, , , ,Out,Logged, , , 
2019-10-24 20:44:15, , , , , ,Logged, , 
2019-10-24 20:46:48, , , , , , ,Logged, 
2019-10-24 20:48:11, , , , , , ,Logged, 
2019-10-24 20:48:59, , , ,In, , , , 
2019-10-24 20:49:49,26.85,-71.41,8.07, , , , , 
2019-10-24 20:59:49,27.22,-71.50,8.07, , , , , 
2019-10-24 21:09:49,27.22,-71.53,8.07, , , , , 
2019-10-24 21:19:49,27.17,-71.55,8.07, , , , , 
2019-10-24 21:29:49,27.12,-71.56,8.07, , , , , 
2019-10-24 21:39:49,27.10,-71.56,8.07, , , , , 
2019-10-24 21:49:49,27.17,-71.56,8.07, , , , , 
2019-10-24 21:59:49,27.25,-71.52,8.07, , , , , 
2019-10-24 22:09:49,27.35,-71.50,8.07, , , , , 
2019-10-24 22:19:49,27.35,-71.52,8.07, , , , , 
2019-10-24 22:29:49,27.30,-71.50,8.07, , , , , 
2019-10-24 22:39:49,27.25,-71.52,8.07, , , , , 
2019-10-24 22:49:49,27.20,-71.52,8.07, , , , , 
2019-10-24 22:59:49,27.15,-71.52,8.07, , , , , 
2019-10-24 23:09:49,27.10,-71.52,8.07, , , , , 
2019-10-24 23:19:49,27.10,-71.50,8.07, , , , , 
2019-10-24 23:29:49,27.20,-71.49,8.07, , , , , 
2019-10-24 23:39:49,27.27,-71.46,8.07, , , , , 
2019-10-24 23:49:49,27.37,-71.46,8.07, , , , , 
2019-10-24 23:59:49,27.35,-71.44,8.07, , , , , 
2019-10-25 00:09:49,27.30,-71.44,8.07, , , , , 
2019-10-25 00:19:49,27.22,-71.44,8.07, , , , , 
2019-10-25 00:29:49,27.15,-71.42,8.07, , , , , 
2019-10-25 00:39:49,27.10,-71.42,8.07, , , , , 
2019-10-25 00:49:49,27.12,-71.42,8.07, , , , , 
2019-10-25 00:59:49,27.17,-71.39,8.07, , , , , 
2019-10-25 01:09:49,27.27,-71.36,8.07, , , , , 
2019-10-25 01:19:49,27.32,-71.36,8.07, , , , , 
2019-10-25 01:29:49,27.37,-71.33,8.07, , , , , 
2019-10-25 01:39:49,27.35,-71.33,8.07, , , , , 
2019-10-25 01:49:49,27.27,-71.33,8.07, , , , , 
2019-10-25 01:59:49,27.20,-71.33,8.07, , , , , 
2019-10-25 02:09:49,27.12,-71.31,8.07, , , , , 
2019-10-25 02:19:49,27.10,-71.33,8.07, , , , , 
2019-10-25 02:29:49,27.15,-71.31,8.07, , , , , 
2019-10-25 02:39:49,27.22,-71.27,8.07, , , , , 
2019-10-25 02:49:49,27.27,-71.27,8.07, , , , , 
2019-10-25 02:59:49,27.30,-71.24,8.07, , , , , 
2019-10-25 03:09:49,27.37,-71.22,8.07, , , , , 
2019-10-25 03:19:49,27.37,-71.21,8.07, , , , , 
2019-10-25 03:29:49,27.30,-71.21,8.07, , , , , 
2019-10-25 03:39:49,27.20,-71.21,8.07, , , , , 
2019-10-25 03:49:49,27.10,-71.19,8.07, , , , , 
2019-10-25 03:59:49,27.10,-71.17,8.07, , , , , 
2019-10-25 04:09:49,27.15,-71.17,8.07, , , , , 
2019-10-25 04:19:49,27.20,-71.14,8.07, , , , , 
