Serial Number:20697595 --

"Date Time, GMT -1000","Temp, (*C)","mV","pH","Button Down","Button Up","Host Connect","EOF"
2019-10-24 20:10:00,27.42,-73.58,8.07, , , , 
2019-10-24 20:14:41, , , ,Logged,Logged, , 
2019-10-24 20:14:45, , , , , ,Logged, 
2019-10-24 20:15:53, , , ,Logged,Logged, , 
2019-10-24 20:20:00,27.44,-73.56,8.07, , , , 
2019-10-24 20:30:00,27.44,-73.55,8.07, , , , 
2019-10-24 20:40:00,27.40,-73.53,8.07, , , , 
2019-10-24 20:44:25, , , ,Logged,Logged, , 
2019-10-24 20:44:34, , , , , ,Logged, 
2019-10-24 20:48:47, , , ,Logged, , , 
2019-10-24 20:48:48, , , , ,Logged, , 
2019-10-24 20:50:00,26.98,-73.36,8.07, , , , 
2019-10-24 21:00:00,27.27,-73.49,8.07, , , , 
2019-10-24 21:10:00,27.25,-73.52,8.07, , , , 
2019-10-24 21:20:00,27.20,-73.49,8.07, , , , 
2019-10-24 21:30:00,27.15,-73.47,8.07, , , , 
2019-10-24 21:40:00,27.12,-73.42,8.07, , , , 
2019-10-24 21:50:00,27.17,-73.46,8.07, , , , 
2019-10-24 22:00:00,27.30,-73.44,8.07, , , , 
2019-10-24 22:10:00,27.37,-73.42,8.06, , , , 
2019-10-24 22:20:00,27.37,-73.46,8.07, , , , 
2019-10-24 22:30:00,27.35,-73.42,8.07, , , , 
2019-10-24 22:40:00,27.30,-73.39,8.06, , , , 
2019-10-24 22:50:00,27.22,-73.38,8.06, , , , 
2019-10-24 23:00:00,27.17,-73.36,8.06, , , , 
2019-10-24 23:10:00,27.12,-73.33,8.06, , , , 
2019-10-24 23:20:00,27.12,-73.30,8.06, , , , 
2019-10-24 23:30:00,27.22,-73.31,8.06, , , , 
2019-10-24 23:40:00,27.27,-73.31,8.06, , , , 
2019-10-24 23:50:00,27.37,-73.33,8.06, , , , 
2019-10-25 00:00:00,27.37,-73.33,8.06, , , , 
2019-10-25 00:10:00,27.32,-73.30,8.06, , , , 
2019-10-25 00:20:00,27.25,-73.28,8.06, , , , 
2019-10-25 00:30:00,27.20,-73.22,8.06, , , , 
2019-10-25 00:40:00,27.12,-73.21,8.06, , , , 
2019-10-25 00:50:00,27.15,-73.22,8.06, , , , 
2019-10-25 01:00:00,27.20,-73.19,8.06, , , , 
2019-10-25 01:10:00,27.30,-73.19,8.06, , , , 
2019-10-25 01:20:00,27.35,-73.22,8.06, , , , 
2019-10-25 01:30:00,27.40,-73.21,8.06, , , , 
2019-10-25 01:40:00,27.37,-73.21,8.06, , , , 
2019-10-25 01:50:00,27.30,-73.17,8.06, , , , 
2019-10-25 02:00:00,27.22,-73.13,8.06, , , , 
2019-10-25 02:10:00,27.15,-73.10,8.06, , , , 
2019-10-25 02:20:00,27.12,-73.11,8.06, , , , 
2019-10-25 02:30:00,27.17,-73.08,8.06, , , , 
2019-10-25 02:40:00,27.25,-73.08,8.06, , , , 
2019-10-25 02:50:00,27.27,-73.08,8.06, , , , 
2019-10-25 03:00:00,27.30,-73.05,8.06, , , , 
2019-10-25 03:10:00,27.37,-73.16,8.06, , , , 
2019-10-25 03:20:00,27.40,-73.08,8.06, , , , 
2019-10-25 03:30:00,27.32,-73.02,8.06, , , , 
2019-10-25 03:40:00,27.22,-73.00,8.06, , , , 
2019-10-25 03:50:00,27.15,-72.99,8.06, , , , 
2019-10-25 04:00:00,27.15,-72.92,8.06, , , , 
2019-10-25 04:10:00,27.15,-72.96,8.06, , , , 
2019-10-25 04:20:00,27.22,-72.92,8.06, , , , 
2019-10-25 04:30:00,27.25,-73.00,8.06, , , , 
2019-10-25 04:40:00,27.30,-72.92,8.06, , , , 
2019-10-25 04:50:00,27.32,-72.96,8.06, , , , 
2019-10-25 05:00:00,27.37,-72.94,8.06, , , , 
2019-10-25 05:10:00,27.37,-72.89,8.06, , , , 
2019-10-25 05:20:00,27.32,-72.91,8.06, , , , 
2019-10-25 05:30:00,27.22,-72.85,8.06, , , , 
2019-10-25 05:40:00,27.12,-72.80,8.06, , , , 
2019-10-25 05:50:00,27.15,-72.83,8.06, , , , 
2019-10-25 06:00:00,27.17,-72.83,8.06, , , , 
2019-10-25 06:10:00,27.20,-72.78,8.05, , , , 
2019-10-25 06:20:00,27.25,-72.85,8.06, , , , 
2019-10-25 06:30:00,27.30,-72.78,8.05, , , , 
2019-10-25 06:40:00,27.37,-72.80,8.05, , , , 
2019-10-25 06:50:00,27.37,-72.81,8.05, , , , 
2019-10-25 07:00:00,27.35,-72.77,8.05, , , , 
2019-10-25 07:10:00,27.30,-72.77,8.05, , , , 
2019-10-25 07:20:00,27.25,-72.75,8.05, , , , 
2019-10-25 07:30:00,27.20,-72.74,8.05, , , , 
2019-10-25 07:40:00,27.17,-72.72,8.05, , , , 
2019-10-25 07:50:00,27.15,-72.71,8.05, , , , 
2019-10-25 08:00:00,27.12,-72.71,8.05, , , , 
2019-10-25 08:10:00,27.12,-72.83,8.06, , , , 
2019-10-25 08:20:00,27.12,-72.69,8.05, , , , 
2019-10-25 08:30:00,27.12,-72.69,8.05, , , , 
2019-10-25 08:40:00,27.15,-72.67,8.05, , , , 
2019-10-25 08:50:00,27.15,-72.67,8.05, , , , 
2019-10-25 09:00:00,27.15,-72.67,8.05, , , , 
2019-10-25 09:10:00,27.12,-72.66,8.05, , , , 
2019-10-25 09:20:00,27.12,-72.66,8.05, , , , 
2019-10-25 09:30:00,27.12,-72.67,8.05, , , , 
2019-10-25 09:40:00,27.12,-72.66,8.05, , , , 
2019-10-25 09:50:00,27.12,-72.66,8.05, , , , 
2019-10-25 10:00:00,27.12,-72.64,8.05, , , , 
2019-10-25 10:10:00,27.12,-72.64,8.05, , , , 
2019-10-25 10:20:00,27.15,-72.66,8.05, , , , 
2019-10-25 10:30:00,27.15,-72.64,8.05, , , , 
2019-10-25 10:40:00,27.15,-72.64,8.05, , , , 
2019-10-25 10:50:00,27.17,-72.64,8.05, , , , 
2019-10-25 11:00:00,27.20,-72.64,8.05, , , , 
2019-10-25 11:10:00,27.20,-72.64,8.05, , , , 
2019-10-25 11:20:00,27.22,-72.64,8.05, , , , 
2019-10-25 11:30:00,27.22,-72.63,8.05, , , , 
2019-10-25 11:40:00,27.25,-72.64,8.05, , , , 
2019-10-25 11:50:00,27.25,-72.66,8.05, , , , 
2019-10-25 12:00:00,27.25,-72.67,8.05, , , , 
2019-10-25 12:10:00,27.25,-72.60,8.05, , , , 
2019-10-25 12:20:00,27.25,-72.61,8.05, , , , 
2019-10-25 12:30:00,27.25,-72.60,8.05, , , , 
2019-10-25 12:40:00,27.27,-72.61,8.05, , , , 
2019-10-25 12:50:00,27.30,-72.63,8.05, , , , 
