well,colony_id
A1,StandardA
A2,StandardA
A3,StandardB
A4,StandardB
A5,StandardC
A6,StandardC
A7,StandardD
A8,StandardD
A9,StandardE
A10,StandardE
A11,StandardF
A12,StandardF
B1,StandardG
B2,StandardG
B3,StandardH
B4,StandardH
B5,StandardI
B6,StandardI
B7,test-1
B8,test-1
B9,POC-52
B10,POC-52
B11,ACR-180
B12,ACR-180
C1,POC-42
C2,POC-42
C3,ACR-186
C4,ACR-186
C5,ACR-173
C6,ACR-173
C7,POC-57
C8,POC-57
C9,POR-83
C10,POR-83
C11,POC-50
C12,POC-50
D1,POR-72
D2,POR-72
D3,POC-45
D4,POC-45
D5,POC-53
D6,POC-53
D7,ACR-145
D8,ACR-145
D9,ACR-185
D10,ACR-185
D11,ACR-256
D12,ACR-256
E1,ACR-228
E2,ACR-228
E3,POC-259
E4,POC-259
E5,POC-68
E6,POC-68
E7,ACR-246
E8,ACR-246
E9,POR-74
E10,POR-74
E11,POC-35
E12,POC-35
F1,POC-377
F2,POC-377
F3,ACR-379
F4,ACR-379
F5,POC-358
F6,POC-358
F7,POC-346
F8,POC-346
F9,POR-214
F10,POR-214
F11,POR-221
F12,POR-221
G1,POC-255
G2,POC-255
G3,ACR-244
G4,ACR-244
G5,POR-209
G6,POR-209
G7,POC-395
G8,POC-395
G9,POR-383
G10,POR-383
G11,POC-391
G12,POC-391
H1,POR-354
H2,POR-354
H3,POR-365
H4,POR-365
H5,POR-338
H6,POR-338
H7,POC-219
H8,POC-219
H9,POR-76
H10,POR-76
H11,POC-56
H12,POC-56
