Well,490:490
A1,0.057
B1,0.09
C1,0.057
D1,0.056
E1,0.058
F1,0.044
G1,0.046
H1,0.045
A2,0.088
B2,0.124
C2,0.088
D2,0.057
E2,0.059
F2,0.045
G2,0.045
H2,0.046
A3,0.118
B3,0.11
C3,0.114
D3,0.038
E3,0.052
F3,0.045
G3,0.044
H3,0.045
A4,0.121
B4,0.108
C4,0.11
D4,0.038
E4,0.051
F4,0.044
G4,0.044
H4,0.047
A5,0.141
B5,0.11
C5,0.084
D5,0.064
E5,0.044
F5,0.045
G5,0.045
H5,0.045
A6,0.11
B6,0.097
C6,0.089
D6,0.058
E6,0.044
F6,0.045
G6,0.047
H6,0.044
A7,0.158
B7,0.098
C7,0.076
D7,0.054
E7,0.045
F7,0.045
G7,0.046
H7,0.044
A8,0.137
B8,0.103
C8,0.057
D8,0.054
E8,0.046
F8,0.047
G8,0.046
H8,0.044
A9,0.145
B9,0.114
C9,0.068
D9,0.082
E9,0.047
F9,0.045
G9,0.046
H9,0.044
A10,0.094
B10,0.095
C10,0.069
D10,0.081
E10,0.046
F10,0.046
G10,0.045
H10,0.046
A11,0.065
B11,0.101
C11,0.054
D11,0.058
E11,0.045
F11,0.045
G11,0.046
H11,0.046
A12,0.048
B12,0.052
C12,0.054
D12,0.06
E12,0.045
F12,0.045
G12,0.045
H12,0.045
