Pan.ID,colony_id,partner,initial.mass.g,dry.pan.mass.g,burnt.pan.mass.g
1,POC-205,Sym,1.1182,1.1318,1.128
2,NA,NA,1.1195,NA,NA
3,POR-75,Sym,1.1312,1.1487,
4,POC-45,Sym,1.1405,1.1508,
5,POC-371,Sym,1.1403,1.1506,1.1488
6,POR-354,Sym,1.1388,1.1894,1.1818
7,ACR-396,Sym,1.1408,1.1533,1.1508
8,NA,NA,1.1388,NA,NA
9,POC-45,Host,1.1379,1.1848,
10,POR-76,Host,1.1334,1.189,
11,POC-41,Host,1.1352,1.1867,
12,POR-72,Sym,1.1336,1.1472,
13,POR-70,Sym,1.1331,1.1517,
14,ACR-186,Sym,1.1404,1.1524,1.1502
15,POR-74,Sym,1.1237,1.14,
16,ACR-51,Sym,1.1318,1.1457,
17,ACR-190,Sym,1.1536,1.1723,
18,POR-80,Sym,1.1358,1.1535,
19,ACR-351,Sym,1.1409,1.152,1.1498
20,POC-57,Sym,1.1339,1.1454,
21,POR-340,Sym,1.1242,1.1358,1.1343
22,POR-338,Sym,1.1447,1.1621,1.1566
23,ACR-145,Host,1.1387,1.1891,
24,POC-43,Host,1.14,1.2013,
25,POR-245,Host,1.1377,1.1951,1.1813
26,POR-77,Host,1.1338,1.1812,
27,POC-55,Sym,1.1365,1.1512,
28,ACR-258,Host,1.1446,1.1943,1.1876
29,ACR-364,Sym,1.133,1.1469,1.1429
30,POR-83,Host,1.1415,1.2017,
31,POC-52,Host,1.1291,1.1758,
32,ACR-173,Sym,1.1345,1.1466,1.1448
33,POR-236,Sym,1.1469,1.1647,1.1578
34,POR-209,Host,1.1401,1.1942,1.185
35,POR-69,Host,1.1374,1.1907,
36,POR-381,Host,1.1327,1.1743,1.168
37,POR-69,Sym,1.1592,1.1776,
38,ACR-178,Host,1.1357,1.1986,
39,POR-77,Sym,1.1367,1.1566,
40,POC-52,Sym,1.1412,1.1524,
41,POC-68,Sym,1.1272,1.1423,
42,POR-71,Sym,1.1362,1.1511,
43,ACR-393,Sym,1.1375,1.1491,1.147
44,POC-44,Host,1.1445,1.2014,
45,ACR-237,Sym,1.1409,1.1568,1.1509
46,POC-44,Sym,1.1428,1.157,
47,POR-235,Host,1.1501,1.2146,1.1977
48,ACR-396,Host,1.1569,1.2047,1.2
49,POC-371,Host,1.1567,1.2143,1.2013
50,POR-70,Host,1.1222,1.18,
51,ACR-265,Sym,1.1322,1.1497,1.1425
52,POC-205,Host,1.1323,1.1859,1.1764
53,POC-378,Host,1.1386,1.1515,1.1483
54,POC-239,Host,1.1388,1.1937,1.1826
55,POC-395,Host,1.1251,1.1742,1.1663
56,POC-391,Sym,1.1386,1.1507,1.1494
57,POR-80,Host,1.1374,1.1919,
58,POC-47,Host,1.1421,1.2033,
59,POC-55,Host,1.1278,1.1761,
60,POR-260,Host,1.145,1.2031,1.1907
61,POC-386,Host,1.1462,1.1943,1.1865
62,POR-242,Sym,1.1493,1.1621,1.1597
63,POR-357,Sym,1.1431,1.1573,1.1535
64,POR-266,Host,1.1423,1.1991,1.1882
65,POR-240,Host,1.1398,1.1862,1.1818
66,ACR-265,Host,1.1302,1.1836,1.1752
67,POC-254,Sym,1.1496,1.1675,1.1597
68,POC-222,Sym,1.1444,1.157,1.1543
69,POR-353,Host,1.135,1.191,1.1826
70,POR-73,Host,1.1453,1.2013,1.1891
71,POR-383,Sym,1.1418,1.1567,1.1519
72,POC-359,Sym,1.1313,1.1436,1.1405
73,POC-372,Sym,1.1374,1.1505,1.147
74,NA,NA,NA,NA,NA
75,POC-391,Host,1.141,1.1969,1.185
76,POC-68,Host,1.1378,1.1932,
77,POR-81,Host,1.1398,1.1922,
78,POR-81,Sym,1.1473,1.1643,
79,POR-79,Host,1.1328,,
80,POC-53,Host,1.136,1.1915,
81,POR-82,Host,1.1573,1.2117,
82,POR-75,Host,1.1335,1.191,
83,ACR-139,Host,1.1421,1.1937,
84,POC-40,Sym,1.1175,1.134,
85,POR-72,Host,1.1306,1.1816,
86,ACR-140,Sym,1.146,1.1622,
87,ACR-51,Host,1.1226,1.176,
88,POR-266,Sym,1.1318,1.1447,1.1423
89,POR-242,Host,1.1346,1.1866,1.1792
90,POR-349,Host,1.149,1.2031,1.1923
91,POC-56,Sym,1.1298,1.1449,
92,ACR-360,Host,1.1336,1.1832,1.1779
93,ACR-244,Sym,1.1405,1.1591,1.1519
94,POC-369,Host,1.1156,1.1662,1.1572
