Software Version,3.05.11,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Experiment File Path:,C:\Users\gump\Desktop\Putnam\20200312_Plate3_CHL.xpt,,,,,,,,,,,,,
Protocol File Path:,C:\Users\Public\Documents\Protocols\Chlorophyll.prt,,,,,,,,,,,,,
Plate Number,Plate 1,,,,,,,,,,,,,
Date,3/12/20,,,,,,,,,,,,,
Time,2:05:13 PM,,,,,,,,,,,,,
Reader Type:,Synergy HTX,,,,,,,,,,,,,
Reader Serial Number:,19041023,,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,,
Plate Type,96 WELL PLATE,,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,,
Read,Absorbance Endpoint,,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,,
,"Wavelengths:  630, 663, 750",,,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8",,,,,,,,,,,,,
,,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,
Actual Temperature:,31,,,,,,,,,,,,,
Actual Temperature:,31,,,,,,,,,,,,,
Actual Temperature:,31,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,
,A,0.027,0.028,0.058,0.06,0.06,0.066,0.074,0.091,0.065,0.068,0.066,0.071,630
,,0.027,0.028,0.153,0.168,0.158,0.178,0.203,0.238,0.184,0.202,0.188,0.208,663
,,0.028,0.027,0.029,0.029,0.029,0.03,0.031,0.042,0.03,0.028,0.028,0.029,750
,B,0.055,0.057,0.054,0.057,0.073,0.079,0.086,0.101,0.071,0.082,0.089,0.088,630
,,0.136,0.147,0.14,0.153,0.213,0.243,0.268,0.306,0.222,0.257,0.251,0.271,663
,,0.028,0.029,0.029,0.029,0.029,0.03,0.028,0.035,0.028,0.034,0.04,0.032,750
,C,0.082,0.081,0.064,0.069,0.074,0.076,0.062,0.067,0.047,0.05,0.059,0.062,630
,,0.224,0.241,0.178,0.198,0.198,0.217,0.165,0.184,0.108,0.119,0.156,0.17,663
,,0.036,0.03,0.028,0.029,0.032,0.029,0.029,0.029,0.028,0.028,0.028,0.029,750
,D,0.05,0.053,0.032,0.031,0.029,0.029,0.029,0.03,0.029,0.034,0.033,0.039,630
,,0.117,0.128,0.032,0.031,0.029,0.029,0.029,0.031,0.03,0.035,0.034,0.041,663
,,0.028,0.03,0.031,0.03,0.028,0.029,0.029,0.03,0.03,0.035,0.033,0.037,750
,E,0.029,0.032,0.03,0.028,0.029,0.029,0.029,0.035,0.032,0.031,0.036,0.031,630
,,0.029,0.032,0.031,0.029,0.029,0.029,0.029,0.036,0.032,0.031,0.037,0.031,663
,,0.029,0.031,0.03,0.029,0.029,0.029,0.029,0.035,0.032,0.031,0.035,0.03,750
,F,0.03,0.031,0.032,0.04,0.029,0.028,0.029,0.031,0.03,0.029,0.03,0.03,630
,,0.03,0.031,0.032,0.04,0.029,0.029,0.029,0.031,0.03,0.029,0.031,0.03,663
,,0.029,0.03,0.032,0.04,0.029,0.029,0.029,0.031,0.029,0.029,0.03,0.029,750
,G,0.03,0.033,0.029,0.029,0.033,0.029,0.031,0.036,0.031,0.029,0.031,0.03,630
,,0.03,0.033,0.029,0.029,0.033,0.029,0.031,0.037,0.031,0.03,0.031,0.03,663
,,0.03,0.033,0.029,0.029,0.033,0.029,0.031,0.036,0.031,0.029,0.031,0.029,750
,H,0.031,0.032,0.028,0.031,0.031,0.034,0.031,0.031,0.03,0.032,0.03,0.032,630
,,0.031,0.032,0.029,0.031,0.032,0.035,0.032,0.032,0.03,0.032,0.03,0.032,663
,,0.03,0.032,0.028,0.03,0.031,0.034,0.031,0.031,0.03,0.031,0.03,0.031,750
