colony_id,homog_vol_ml,note,date_airbrushed
POC-394,14,,20200307
ACR-368,13,,20200307
POC-359,19,,20200307
POR-367,51,,20200307
POR-353,50,,20200307
ACR-360,16,,20200307
ACR-244,10,,20200307
POC-200,22.5,,20200307
ACR-258,14.5,,20200307
POC-201,12,,20200307
POR-245,48,,20200307
ACR-237,15,,20200307
POR-355,70,,20200307
ACR-265,14.5,,20200307
POC-255,19,,20200307
POR-260,55,,20200307
ACR-225,20,,20200307
ACR-229,12.5,,20200307
POC-219,15,,20200307
POR-242,106,,20200307
POR-216,57.5,,20200307
POC-248,13,,20200307
POR-206,62.5,,20200307
POC-215,18.5,,20200307
POC-239,14,,20200307
POR-253,64,,20200307
POC-222,15,,20200307
POR-240,43,,20200307
POC-207,12.5,,20200307
POC-257,22,,20200307
POR-262,42.5,,20200307
POC-217,14,,20200307
POC-254,17,,20200307
POR-236,62.5,,20200307
POC-259,21,,20200307
POR-224,41,,20200307
POR-221,41,,20200308
POR-349,35,,20200308
ACR-351,13.5,,20200308
POR-214,37.5,,20200308
POC-377,20,,20200308
POR-235,45,,20200308
ACR-364,12,,20200308
POR-209,22.5,,20200308
POC-205,17.5,,20200308
POR-266,46,,20200308
ACR-343,11,,20200308
POR-383,35,,20200308
ACR-350,11.5,,20200308
ACR-347,12.5,,20200308
POR-384,145,,20200308
POC-378,15,,20200308
POR-381,32.5,,20200308
POR-341,24,,20200308
POC-371,13,,20200308
POR-357,31,,20200308
ACR-396,10,,20200308
POR-338,37.5,,20200308
POC-373,12,,20200308
POC-238,69,,20200308
POC-391,30,,20200308
POC-366,22.5,,20200308
POC-372,12.5,,20200308
POC-346,15,,20200308
POC-369,17,,20200308
POR-365,52.5,,20200308
POC-395,12.5,,20200308
POR-385,55,,20200308
POR-340,70,,20200308
POC-375,17,,20200308
ACR-393,15.5,,20200308
POR-73,65,,20200309
POR-354,32.5,,20200309
ACR-173,42.5,,20200309
POC-386,25,,20200309
POC-48,17.5,,20200309
POC-50,11,,20200309
ACR-186,25,,20200309
ACR-150,26,,20200309
POC-42,10.5,,20200309
ACR-139,12,,20200309
POR-71,86.5,,20200309
POC-44,12,,20200309
POR-77,45,,20200309
POR-69,50,,20200309
POC-68,12.5,,20200309
POR-79,43,,20200309
POC-45,26,,20200309
ACR-145,10,,20200309
POC-56,16,,20200310
POR-70,72.5,,20200310
POR-78,76,,20200310
POC-55,23,,20200310
POR-80,35,,20200310
ACR-178,11.5,,20200310
POR-81,41,,20200310
ACR-190,10,,20200310
POC-40,17.5,,20200310
POC-43,11,,20200310
POR-74,27.5,,20200310
POR-76,87,,20200310
ACR-51,14,,20200310
POR-82,27.5,,20200310
ACR-140,10,,20200310
POC-47,20,,20200310
POC-57,20,,20200310
POC-41,33.5,,20200310
POC-52,25,,20200310
POC-53,15,,20200310
POR-75,55,,20200310
POR-72,27.5,,20200310
POR-83,71,,20200310
