Run,Light_Level,Light_Value,Date,Start.time,Stop.time
1,1,0,20200304,09:51:00,10:01:00
1,2,18,20200304,10:03:00,10:16:00
1,3,68,20200304,10:30:00,10:40:00
1,4,113,20200304,10:42:00,10:55:00
1,5,169,20200304,10:58:00,11:08:00
1,6,243,20200304,11:10:00,11:18:00
1,7,499,20200304,11:22:00,11:32:00
1,8,709,20200304,11:34:00,11:43:00
1,9,844,20200304,11:48:00,11:58:00
1,10,1025,20200304,12:02:00,12:12:00
2,1,0,20200304,15:06:00,15:16:00
2,2,18,20200304,15:21:00,15:34:00
2,3,68,20200304,15:36:00,15:46:00
2,4,113,20200304,15:48:00,15:58:00
2,5,169,20200304,16:00:00,16:10:00
2,6,243,20200304,16:12:00,16:22:00
2,7,499,20200304,16:24:00,16:35:00
2,8,709,20200304,16:37:00,16:47:00
2,9,844,20200304,17:01:00,17:17:00
2,10,1025,20200304,17:20:00,17:30:00
3,1,0,20200305,15:32:00,15:42:00
3,2,18,20200305,15:44:00,15:54:00
3,3,68,20200305,15:56:00,16:06:00
3,4,113,20200305,16:08:00,16:24:00
3,5,169,20200305,16:26:00,16:36:00
3,6,243,20200305,16:38:00,16:48:00
3,7,499,20200305,16:50:00,17:01:00
3,8,709,20200305,17:04:00,17:17:00
3,9,844,20200305,17:19:00,17:30:00
3,10,1025,20200305,17:32:00,17:42:00
4,1,0,20200306,10:52:00,11:02:00
4,2,18,20200306,11:05:00,11:16:00
4,3,68,20200306,11:19:00,11:29:00
4,4,113,20200306,11:31:00,11:41:00
4,5,169,20200306,11:43:00,11:54:00
4,6,243,20200306,11:56:00,12:07:00
4,7,499,20200306,12:09:00,12:19:00
4,8,709,20200306,12:21:00,12:31:00
4,9,844,20200306,12:33:00,12:43:00
4,10,1025,20200306,12:45:00,12:55:00
5,1,0,20200306,16:18:00,16:28:00
5,2,18,20200306,16:30:00,16:40:00
5,3,68,20200306,16:42:00,16:54:00
5,4,113,20200306,16:56:00,17:06:00
5,5,169,20200306,17:08:00,17:18:00
5,6,243,20200306,17:20:00,17:30:00
5,7,499,20200306,17:40:00,17:51:00
5,8,709,20200306,17:56:00,18:06:00
5,9,844,20200306,18:08:00,18:18:00
5,10,1025,20200306,18:20:00,18:30:00
6,1,0,20200307,08:28:00,08:38:00
6,2,18,20200307,08:40:00,08:50:00
6,3,68,20200307,08:52:00,09:05:00
6,4,113,20200307,09:07:00,09:19:00
6,5,169,20200307,09:22:00,09:37:00
6,6,243,20200307,09:39:00,09:50:00
6,7,499,20200307,09:52:00,10:03:00
6,8,709,20200307,10:05:00,10:15:00
6,9,844,20200307,10:17:00,10:27:00
6,10,1025,20200307,10:29:00,10:39:00
7,1,0,20200307,13:16:00,13:27:00
7,2,18,20200307,13:29:00,13:39:00
7,3,68,20200307,13:42:00,13:52:00
7,4,113,20200307,13:54:00,14:04:00
7,5,169,20200307,14:06:00,14:16:00
7,6,243,20200307,14:18:00,14:28:00
7,7,499,20200307,14:30:00,14:40:00
7,8,709,20200307,14:42:00,14:52:00
7,9,844,20200307,14:54:00,15:05:00
7,10,1025,20200307,15:07:00,15:17:00
8,1,0,20200308,08:52:00,09:02:00
8,2,18,20200308,09:05:00,09:17:00
8,3,68,20200308,09:19:00,09:29:00
8,4,113,20200308,09:31:00,09:43:00
8,5,169,20200308,09:46:00,09:59:00
8,6,243,20200308,10:01:00,10:11:00
8,7,499,20200308,10:13:00,10:23:00
8,8,709,20200308,10:25:00,10:35:00
8,9,844,20200308,10:37:00,10:47:00
8,10,1025,20200308,10:49:00,10:59:00
9,1,0,20200308,13:46:00,13:58:00
9,2,18,20200308,14:01:00,14:11:00
9,3,68,20200308,14:13:00,14:23:00
9,4,113,20200308,14:25:00,14:35:00
9,5,169,20200308,14:37:00,14:47:00
9,6,243,20200308,14:49:00,14:59:00
9,7,499,20200308,15:01:00,15:11:00
9,8,709,20200308,15:13:00,15:23:00
9,9,844,20200308,15:25:00,15:35:00
9,10,1025,20200308,15:37:00,15:48:00
10,1,0,20200309,08:48:00,09:01:00
10,2,18,20200309,09:03:00,09:13:00
10,3,68,20200309,09:15:00,09:25:00
10,4,113,20200309,09:27:00,09:37:00
10,5,169,20200309,09:39:00,09:49:00
10,6,243,20200309,09:51:00,10:03:00
10,7,499,20200309,10:05:00,10:15:00
10,8,709,20200309,10:17:00,10:28:00
10,9,844,20200309,10:30:00,10:40:00
10,10,1025,20200309,10:42:00,10:52:00
11,1,0,20200309,13:44:00,13:54:00
11,2,18,20200309,13:58:00,14:09:00
