well,colony_id
A1,StandardA
A2,StandardA
A3,StandardB
A4,StandardB
A5,StandardC
A6,StandardC
A7,StandardD
A8,StandardD
A9,StandardE
A10,StandardE
A11,StandardF
A12,StandardF
B1,StandardG
B2,StandardG
B3,StandardH
B4,StandardH
B5,StandardI
B6,StandardI
B7,Blank1
B8,Blank1
B9,POC-394
B10,POC-394
B11,POC-359
B12,POC-359
C1,ACR-368
C2,ACR-368
C3,POR-367
C4,POR-367
C5,POR-353
C6,POR-353
C7,ACR-360
C8,ACR-360
C9,POC-257
C10,POC-257
C11,ACR-229
C12,ACR-229
D1,POC-219
D2,POC-219
D3,POR-216
D4,POR-216
D5,POC-215
D6,POC-215
D7,POC-222
D8,POC-222
D9,ACR-237
D10,ACR-237
D11,POR-262
D12,POR-262
E1,POC-207
E2,POC-207
E3,POR-253
E4,POR-253
E5,POR-245
E6,POR-245
E7,ACR-244
E8,ACR-244
E9,POR-240
E10,POR-240
E11,POC-201
E12,POC-201
F1,POR-260
F2,POR-260
F3,POC-248
F4,POC-248
F5,POC-255
F6,POC-255
F7,POC-200
F8,POC-200
F9,ACR-225
F10,ACR-225
F11,POR-355
F12,POR-355
G1,POC-239
G2,POC-239
G3,POR-236
G4,POR-236
G5,POC-217
G6,POC-217
G7,POC-259
G8,POC-259
G9,POC-254
G10,POC-254
G11,POR-224
G12,POR-224
H1,POR-206
H2,POR-206
H3,ACR-265
H4,ACR-265
H5,ACR-258
H6,ACR-258
H7,POR-242
H8,POR-242
H9,POC-205
H10,POC-205
H11,POR-349
H12,POR-349
