"Plot Title: Site1_Mahana"
"#","Date Time, GMT-10:00","Temp, °C (LGR S/N: 20444035, SEN S/N: 20444035)","Coupler Detached (LGR S/N: 20444035)","Coupler Attached (LGR S/N: 20444035)","Host Connected (LGR S/N: 20444035)","End Of File (LGR S/N: 20444035)"
1,01/10/20 06:30:00 PM,26.256,Logged,,,
2,01/10/20 06:40:00 PM,25.477,,,,
3,01/10/20 06:50:00 PM,23.497,,,,
4,01/10/20 07:00:00 PM,22.824,,,,
5,01/10/20 07:10:00 PM,22.800,,,,
6,01/10/20 07:20:00 PM,22.705,,,,
7,01/10/20 07:30:00 PM,22.609,,,,
8,01/10/20 07:40:00 PM,22.561,,,,
9,01/10/20 07:50:00 PM,22.513,,,,
10,01/10/20 08:00:00 PM,22.441,,,,
11,01/10/20 08:10:00 PM,22.393,,,,
12,01/10/20 08:20:00 PM,22.369,,,,
13,01/10/20 08:30:00 PM,22.298,,,,
14,01/10/20 08:40:00 PM,22.250,,,,
15,01/10/20 08:50:00 PM,22.226,,,,
16,01/10/20 09:00:00 PM,22.178,,,,
17,01/10/20 09:10:00 PM,22.106,,,,
18,01/10/20 09:20:00 PM,22.058,,,,
19,01/10/20 09:30:00 PM,22.034,,,,
20,01/10/20 09:40:00 PM,22.011,,,,
21,01/10/20 09:50:00 PM,22.011,,,,
22,01/10/20 10:00:00 PM,22.011,,,,
23,01/10/20 10:10:00 PM,22.034,,,,
24,01/10/20 10:20:00 PM,22.011,,,,
25,01/10/20 10:30:00 PM,22.011,,,,
26,01/10/20 10:40:00 PM,21.987,,,,
27,01/10/20 10:50:00 PM,21.963,,,,
28,01/10/20 11:00:00 PM,21.915,,,,
29,01/10/20 11:10:00 PM,21.867,,,,
30,01/10/20 11:20:00 PM,21.819,,,,
31,01/10/20 11:30:00 PM,21.795,,,,
32,01/10/20 11:40:00 PM,21.772,,,,
33,01/10/20 11:50:00 PM,21.748,,,,
34,01/11/20 12:00:00 AM,21.748,,,,
35,01/11/20 12:10:00 AM,21.700,,,,
36,01/11/20 12:20:00 AM,21.700,,,,
37,01/11/20 12:30:00 AM,21.676,,,,
38,01/11/20 12:40:00 AM,21.652,,,,
39,01/11/20 12:50:00 AM,21.628,,,,
40,01/11/20 01:00:00 AM,21.581,,,,
41,01/11/20 01:10:00 AM,21.557,,,,
42,01/11/20 01:20:00 AM,21.724,,,,
43,01/11/20 01:30:00 AM,21.604,,,,
44,01/11/20 01:40:00 AM,21.533,,,,
45,01/11/20 01:50:00 AM,21.485,,,,
46,01/11/20 02:00:00 AM,21.652,,,,
47,01/11/20 02:10:00 AM,21.533,,,,
48,01/11/20 02:20:00 AM,21.509,,,,
49,01/11/20 02:30:00 AM,21.604,,,,
50,01/11/20 02:40:00 AM,21.509,,,,
51,01/11/20 02:50:00 AM,21.652,,,,
52,01/11/20 03:00:00 AM,21.509,,,,
53,01/11/20 03:10:00 AM,21.724,,,,
54,01/11/20 03:20:00 AM,21.557,,,,
55,01/11/20 03:30:00 AM,21.819,,,,
56,01/11/20 03:40:00 AM,21.581,,,,
57,01/11/20 03:50:00 AM,21.700,,,,
58,01/11/20 04:00:00 AM,21.533,,,,
59,01/11/20 04:10:00 AM,21.676,,,,
60,01/11/20 04:20:00 AM,21.795,,,,
61,01/11/20 04:30:00 AM,21.628,,,,
62,01/11/20 04:40:00 AM,21.772,,,,
63,01/11/20 04:50:00 AM,21.772,,,,
64,01/11/20 05:00:00 AM,21.676,,,,
65,01/11/20 05:10:00 AM,21.891,,,,
66,01/11/20 05:20:00 AM,21.628,,,,
67,01/11/20 05:30:00 AM,21.915,,,,
68,01/11/20 05:40:00 AM,21.628,,,,
69,01/11/20 05:50:00 AM,21.891,,,,
70,01/11/20 06:00:00 AM,21.891,,,,
71,01/11/20 06:10:00 AM,21.939,,,,
72,01/11/20 06:20:00 AM,21.700,,,,
73,01/11/20 06:30:00 AM,21.915,,,,
74,01/11/20 06:40:00 AM,21.700,,,,
75,01/11/20 06:50:00 AM,21.676,,,,
76,01/11/20 07:00:00 AM,21.867,,,,
77,01/11/20 07:10:00 AM,21.939,,,,
78,01/11/20 07:20:00 AM,21.963,,,,
79,01/11/20 07:30:00 AM,21.939,,,,
80,01/11/20 07:40:00 AM,22.058,,,,
81,01/11/20 07:50:00 AM,22.034,,,,
82,01/11/20 08:00:00 AM,21.987,,,,
83,01/11/20 08:10:00 AM,21.963,,,,
84,01/11/20 08:20:00 AM,21.987,,,,
85,01/11/20 08:30:00 AM,22.011,,,,
86,01/11/20 08:40:00 AM,22.058,,,,
87,01/11/20 08:50:00 AM,22.130,,,,
88,01/11/20 09:00:00 AM,22.154,,,,
89,01/11/20 09:10:00 AM,22.178,,,,
90,01/11/20 09:20:00 AM,22.202,,,,
91,01/11/20 09:30:00 AM,22.250,,,,
92,01/11/20 09:40:00 AM,22.274,,,,
93,01/11/20 09:50:00 AM,22.321,,,,
94,01/11/20 10:00:00 AM,22.345,,,,
95,01/11/20 10:10:00 AM,22.441,,,,
96,01/11/20 10:20:00 AM,22.465,,,,
97,01/11/20 10:30:00 AM,22.585,,,,
98,01/11/20 10:40:00 AM,22.609,,,,
99,01/11/20 10:50:00 AM,22.681,,,,
100,01/11/20 11:00:00 AM,22.729,,,,
101,01/11/20 11:10:00 AM,22.776,,,,
102,01/11/20 11:20:00 AM,22.896,,,,
103,01/11/20 11:30:00 AM,23.448,,,,
104,01/11/20 11:40:00 AM,23.256,,,,
105,01/11/20 11:50:00 AM,23.424,,,,
106,01/11/20 12:00:00 PM,23.521,,,,
107,01/11/20 12:10:00 PM,23.617,,,,
108,01/11/20 12:20:00 PM,23.713,,,,
109,01/11/20 12:30:00 PM,23.713,,,,
110,01/11/20 12:40:00 PM,23.737,,,,
