"","colony_id","plug.ID","date","run.number","site","species","vol.L","mV.chamber","temp.chamber","salinity.chamber","salinity.lab","temp.InSitu","TA","sample.type","notes","Ta.norm","run","salinity.chamber_initial","salinity.lab_initial","TA_initial","mV.chamber_initial","Ta.norm_initial","mean.blanks","surface.area.cm2","TA.Start.Time","TA.Stop.Time","start.time","stop.time","deltaTA","timediff","umol.cm2.hr","timepoint"
"1","ACR-225",225,20200304,1,2,"Acropora",0.61,-61.2,28.59,35.49,36.03,26.8,2229.921,"Sample","",2231.7792675,1,35.57,36.03,2325.797,-63.4,2327.73516416667,23.4729365000003,19.7490183880778,"12:37:00 PM","2:18:00 PM",2021-11-17 12:37:00,2021-11-17 14:18:00,72.4829601666661,1.68333333333333,0.680292615666972,"timepoint2"
"2","ACR-225",225,20200304,1,2,"Acropora",0.61,-61.2,28.59,35.49,36.03,26.8,2229.921,"Sample","",2231.7792675,2,35.57,37.38,2309.6677,-63.4,2398.20496183333,23.4729365000003,19.7490183880778,"12:37:00 PM","2:18:00 PM",2021-11-17 12:37:00,2021-11-17 14:18:00,142.952757833333,1.68333333333333,1.3416905893417,"timepoint2"
"3","ACR-225",225,20200304,1,2,"Acropora",0.61,-61.2,28.59,35.49,36.03,26.8,2229.921,"Sample","",2231.7792675,2,35.57,37.38,2310.6342,-63.4,2399.208511,23.4729365000003,19.7490183880778,"12:37:00 PM","2:18:00 PM",2021-11-17 12:37:00,2021-11-17 14:18:00,143.956307,1.68333333333333,1.35110945256104,"timepoint2"
"4","POC-215",215,20200304,1,2,"Pocillopora",0.6,-63.6,28.58,36.02,36.02,26.8,2271.35,"Sample","",2272.61186111111,1,35.57,36.03,2325.797,-63.4,2327.73516416667,23.4729365000003,31.866116925197,"12:37:00 PM","2:07:00 PM",2021-11-17 12:37:00,2021-11-17 14:07:00,31.6503665555551,1.5,0.203214750402995,"timepoint2"
"5","POC-215",215,20200304,1,2,"Pocillopora",0.6,-63.6,28.58,36.02,36.02,26.8,2271.35,"Sample","",2272.61186111111,2,35.57,37.38,2309.6677,-63.4,2398.20496183333,23.4729365000003,31.866116925197,"12:37:00 PM","2:07:00 PM",2021-11-17 12:37:00,2021-11-17 14:07:00,102.120164222222,1.5,0.655674039259726,"timepoint2"
"6","POC-215",215,20200304,1,2,"Pocillopora",0.6,-63.6,28.58,36.02,36.02,26.8,2271.35,"Sample","",2272.61186111111,2,35.57,37.38,2310.6342,-63.4,2399.208511,23.4729365000003,31.866116925197,"12:37:00 PM","2:07:00 PM",2021-11-17 12:37:00,2021-11-17 14:07:00,103.123713388889,1.5,0.662117439940832,"timepoint2"
"7","POR-224",224,20200304,1,2,"Porites",0.61,-62.2,28.7,35.34,36.03,26.8,2206.221,"Sample","",2208.0595175,1,35.57,36.03,2325.797,-63.4,2327.73516416667,23.4729365000003,26.4304441328431,"12:37:00 PM","2:10:00 PM",2021-11-17 12:37:00,2021-11-17 14:10:00,96.2027101666663,1.55,0.732700724180633,"timepoint2"
"8","POR-224",224,20200304,1,2,"Porites",0.61,-62.2,28.7,35.34,36.03,26.8,2206.221,"Sample","",2208.0595175,2,35.57,37.38,2309.6677,-63.4,2398.20496183333,23.4729365000003,26.4304441328431,"12:37:00 PM","2:10:00 PM",2021-11-17 12:37:00,2021-11-17 14:10:00,166.672507833333,1.55,1.26941400069621,"timepoint2"
"9","POR-224",224,20200304,1,2,"Porites",0.61,-62.2,28.7,35.34,36.03,26.8,2206.221,"Sample","",2208.0595175,2,35.57,37.38,2310.6342,-63.4,2399.208511,23.4729365000003,26.4304441328431,"12:37:00 PM","2:10:00 PM",2021-11-17 12:37:00,2021-11-17 14:10:00,167.676057,1.55,1.27705724899861,"timepoint2"
"10","POR-214",214,20200304,1,2,"Porites",0.6,-62.7,28.18,35.23,36.12,26.8,2166.262087,"Sample","",2173.48296062333,1,35.57,36.03,2325.797,-63.4,2327.73516416667,23.4729365000003,18.9858544172312,"12:37:00 PM","2:26:00 PM",2021-11-17 12:37:00,2021-11-17 14:26:00,130.779267043333,1.81666666666667,1.1636714880604,"timepoint2"
"11","POR-214",214,20200304,1,2,"Porites",0.6,-62.7,28.18,35.23,36.12,26.8,2166.262087,"Sample","",2173.48296062333,2,35.57,37.38,2309.6677,-63.4,2398.20496183333,23.4729365000003,18.9858544172312,"12:37:00 PM","2:26:00 PM",2021-11-17 12:37:00,2021-11-17 14:26:00,201.24906471,1.81666666666667,1.79071043825512,"timepoint2"
"12","POR-214",214,20200304,1,2,"Porites",0.6,-62.7,28.18,35.23,36.12,26.8,2166.262087,"Sample","",2173.48296062333,2,35.57,37.38,2310.6342,-63.4,2399.208511,23.4729365000003,18.9858544172312,"12:37:00 PM","2:26:00 PM",2021-11-17 12:37:00,2021-11-17 14:26:00,202.252613876667,1.81666666666667,1.79964000009254,"timepoint2"
"13","POC-200",200,20200304,1,2,"Pocillopora",0.605,-63.1,28.06,35.28,36.08,26.8,2257.931561,"Sample","",2262.94918669111,1,35.57,36.03,2325.797,-63.4,2327.73516416667,23.4729365000003,39.2022176449533,"12:37:00 PM","2:33:00 PM",2021-11-17 12:37:00,2021-11-17 14:33:00,41.3130409755554,1.93333333333333,0.168682800305358,"timepoint2"
"14","POC-200",200,20200304,1,2,"Pocillopora",0.605,-63.1,28.06,35.28,36.08,26.8,2257.931561,"Sample","",2262.94918669111,2,35.57,37.38,2309.6677,-63.4,2398.20496183333,23.4729365000003,39.2022176449533,"12:37:00 PM","2:33:00 PM",2021-11-17 12:37:00,2021-11-17 14:33:00,111.782838642222,1.93333333333333,0.456413805495676,"timepoint2"
"15","POC-200",200,20200304,1,2,"Pocillopora",0.605,-63.1,28.06,35.28,36.08,26.8,2257.931561,"Sample","",2262.94918669111,2,35.57,37.38,2310.6342,-63.4,2399.208511,23.4729365000003,39.2022176449533,"12:37:00 PM","2:33:00 PM",2021-11-17 12:37:00,2021-11-17 14:33:00,112.786387808889,1.93333333333333,0.460511336921107,"timepoint2"
"16","POC-255",255,20200304,1,2,"Pocillopora",0.605,-63.1,28.58,35.36,36.1,26.8,2290.17382,"Sample","",2296.53541394444,1,35.57,36.03,2325.797,-63.4,2327.73516416667,23.4729365000003,26.628717125269,"12:37:00 PM","2:20:00 PM",2021-11-17 12:37:00,2021-11-17 14:20:00,7.72681372222178,1.71666666666667,0.052307653305759,"timepoint2"
"17","POC-255",255,20200304,1,2,"Pocillopora",0.605,-63.1,28.58,35.36,36.1,26.8,2290.17382,"Sample","",2296.53541394444,2,35.57,37.38,2309.6677,-63.4,2398.20496183333,23.4729365000003,26.628717125269,"12:37:00 PM","2:20:00 PM",2021-11-17 12:37:00,2021-11-17 14:20:00,78.1966113888889,1.71666666666667,0.529361957627087,"timepoint2"
"18","POC-255",255,20200304,1,2,"Pocillopora",0.605,-63.1,28.58,35.36,36.1,26.8,2290.17382,"Sample","",2296.53541394444,2,35.57,37.38,2310.6342,-63.4,2399.208511,23.4729365000003,26.628717125269,"12:37:00 PM","2:20:00 PM",2021-11-17 12:37:00,2021-11-17 14:20:00,79.2001605555556,1.71666666666667,0.536155612006812,"timepoint2"
"19","ACR-237",237,20200304,1,2,"Acropora",0.605,-64.3,28.1,35.3,36.11,26.8,2282.117545,"Sample","",2289.09068194306,1,35.57,36.03,2325.797,-63.4,2327.73516416667,23.4729365000003,19.6929033902215,"12:37:00 PM","2:31:00 PM",2021-11-17 12:37:00,2021-11-17 14:31:00,15.1715457236105,1.9,0.125477972224234,"timepoint2"
