colony_id,surface.area.cm2,timepoint
ACR-139,19.808874385791274,timepoint2
ACR-140,18.185280447813586,timepoint2
ACR-145,14.324568595295247,timepoint2
ACR-150,21.45117332305444,timepoint2
ACR-173,34.005968843453324,timepoint2
ACR-178,23.362824250028133,timepoint2
ACR-186,29.55043801365737,timepoint2
ACR-190,20.57952035635214,timepoint2
ACR-51,21.28282832948532,timepoint2
ACR-225,19.74901838807782,timepoint2
ACR-229,16.79362850097559,timepoint2
ACR-237,19.69290339022146,timepoint2
ACR-244,24.593613203011273,timepoint2
ACR-258,18.458373437381272,timepoint2
ACR-265,26.58756612684101,timepoint2
ACR-343,16.288593520268243,timepoint2
ACR-347,26.34066013627296,timepoint2
ACR-350,18.028158453815763,timepoint2
ACR-351,20.26527636835646,timepoint2
ACR-360,20.99103034063217,timepoint2
ACR-364,16.22873752255477,timepoint2
ACR-368,14.780970577860385,timepoint2
ACR-393,20.42613936221135,timepoint2
ACR-396,13.74097261758898,timepoint2
POC-200,39.20221764495332,timepoint2
POC-201,20.231607369642617,timepoint2
POC-205,19.251465407084652,timepoint2
POC-207,18.92225741966061,timepoint2
POC-215,31.866116925197026,timepoint2
POC-217,15.121401564855693,timepoint2
POC-219,16.20255052355516,timepoint2
POC-222,22.629588278038227,timepoint2
POC-238,84.2850069227622,timepoint2
POC-239,22.176927295330188,timepoint2
POC-248,27.612600087684008,timepoint2
POC-254,40.90437257992995,timepoint2
POC-255,26.62871712526899,timepoint2
POC-257,22.307862290328416,timepoint2
POC-259,55.91700500643786,timepoint2
POC-346,24.3429662125861,timepoint2
POC-359,24.50008820658394,timepoint2
POC-366,18.6716104292355,timepoint2
POC-369,20.803980347777603,timepoint2
POC-371,20.77405234892091,timepoint2
POC-372,36.07100076456777,timepoint2
POC-373,18.005712454673215,timepoint2
POC-375,59.94980285238247,timepoint2
POC-377,25.947855151278375,timepoint2
POC-378,24.473901207584326,timepoint2
POC-386,22.289157291042898,timepoint2
POC-391,41.01286157578555,timepoint2
POC-394,20.50470035921029,timepoint2
POC-395,22.816638270892824,timepoint2
POC-40,32.7938848897557,timepoint2
POC-41,30.994463958494727,timepoint2
POC-42,21.664410314908643,timepoint2
POC-43,19.973478379503312,timepoint2
POC-44,16.07535652841403,timepoint2
POC-45,18.492042436095097,timepoint2
POC-47,23.041098262318286,timepoint2
POC-48,18.720243427377696,timepoint2
POC-50,14.275935597153055,timepoint2
POC-52,17.960820456388106,timepoint2
POC-53,21.765417311050086,timepoint2
POC-55,20.126859373644102,timepoint2
POC-56,21.739230312050474,timepoint2
POC-57,18.159093448813955,timepoint2
POC-68,17.193915485684357,timepoint2
POR-206,18.34988444152559,timepoint2
POR-209,11.395365707192632,timepoint2
POR-214,18.98585441723118,timepoint2
POR-216,23.071026261175014,timepoint2
POR-221,21.937503304476294,timepoint2
POR-224,26.430444132843142,timepoint2
POR-235,27.612600087683937,timepoint2
POR-236,24.96397218886326,timepoint2
POR-240,11.848026689900736,timepoint2
POR-242,42.49055651933661,timepoint2
POR-245,21.14067033491581,timepoint2
POR-253,22.307862290328416,timepoint2
POR-260,24.24570021630165,timepoint2
POR-262,16.337226518410436,timepoint2
POR-266,18.45089143766709,timepoint2
POR-338,13.785864615874106,timepoint2
POR-340,20.269017368213547,timepoint2
POR-341,11.331768709622093,timepoint2
POR-349,13.254642636167096,timepoint2
POR-353,17.00686549282977,timepoint2
POR-354,14.425575591436711,timepoint2
POR-355,25.42785617114258,timepoint2
POR-357,15.020394568714227,timepoint2
POR-365,14.305863596009766,timepoint2
POR-367,17.48571347453749,timepoint2
POR-381,14.859531574859306,timepoint2
POR-383,33.02956788075241,timepoint2
POR-384,49.422629254526974,timepoint2
POR-385,17.504418473822966,timepoint2
POR-69,25.70094916071028,timepoint2
POR-70,22.625847278181112,timepoint2
POR-71,24.212031217587906,timepoint2
POR-72,10.037382759068446,timepoint2
POR-73,31.641656933771465,timepoint2
POR-74,11.021265721483495,timepoint2
POR-75,24.96397218886326,timepoint2
POR-76,29.273604024232654,timepoint2
POR-77,17.062980490686144,timepoint2
POR-78,26.628717125269056,timepoint2
POR-79,14.739819579432393,timepoint2
POR-80,16.632765507120634,timepoint2
POR-81,12.11363767975421,timepoint2
POR-82,12.035076682755271,timepoint2
POR-83,26.482818130842432,timepoint2
