"Plot Title: Site1_Mahana"
"#","Date Time, GMT-10:00","Temp, °F (LGR S/N: 20444035, SEN S/N: 20444035)","Coupler Detached (LGR S/N: 20444035)","Coupler Attached (LGR S/N: 20444035)","Host Connected (LGR S/N: 20444035)","Stopped (LGR S/N: 20444035)","End Of File (LGR S/N: 20444035)"
1,01/10/20 06:30:00  PM,79.261,Logged,,,,
2,01/10/20 06:40:00  PM,77.859,,,,,
3,01/10/20 06:50:00  PM,74.295,,,,,
4,01/10/20 07:00:00  PM,73.083,,,,,
5,01/10/20 07:10:00  PM,73.040,,,,,
6,01/10/20 07:20:00  PM,72.869,,,,,
7,01/10/20 07:30:00  PM,72.696,,,,,
8,01/10/20 07:40:00  PM,72.610,,,,,
9,01/10/20 07:50:00  PM,72.523,,,,,
10,01/10/20 08:00:00  PM,72.394,,,,,
11,01/10/20 08:10:00  PM,72.307,,,,,
12,01/10/20 08:20:00  PM,72.264,,,,,
13,01/10/20 08:30:00  PM,72.136,,,,,
14,01/10/20 08:40:00  PM,72.050,,,,,
15,01/10/20 08:50:00  PM,72.007,,,,,
16,01/10/20 09:00:00  PM,71.920,,,,,
17,01/10/20 09:10:00  PM,71.791,,,,,
18,01/10/20 09:20:00  PM,71.704,,,,,
19,01/10/20 09:30:00  PM,71.661,,,,,
20,01/10/20 09:40:00  PM,71.620,,,,,
21,01/10/20 09:50:00  PM,71.620,,,,,
22,01/10/20 10:00:00  PM,71.620,,,,,
23,01/10/20 10:10:00  PM,71.661,,,,,
24,01/10/20 10:20:00  PM,71.620,,,,,
25,01/10/20 10:30:00  PM,71.620,,,,,
26,01/10/20 10:40:00  PM,71.577,,,,,
27,01/10/20 10:50:00  PM,71.533,,,,,
28,01/10/20 11:00:00  PM,71.447,,,,,
29,01/10/20 11:10:00  PM,71.361,,,,,
30,01/10/20 11:20:00  PM,71.274,,,,,
31,01/10/20 11:30:00  PM,71.231,,,,,
32,01/10/20 11:40:00  PM,71.190,,,,,
33,01/10/20 11:50:00  PM,71.146,,,,,
34,01/11/20 12:00:00  AM,71.146,,,,,
35,01/11/20 12:10:00  AM,71.060,,,,,
36,01/11/20 12:20:00  AM,71.060,,,,,
37,01/11/20 12:30:00  AM,71.017,,,,,
38,01/11/20 12:40:00  AM,70.974,,,,,
39,01/11/20 12:50:00  AM,70.930,,,,,
40,01/11/20 01:00:00  AM,70.846,,,,,
41,01/11/20 01:10:00  AM,70.803,,,,,
42,01/11/20 01:20:00  AM,71.103,,,,,
43,01/11/20 01:30:00  AM,70.887,,,,,
44,01/11/20 01:40:00  AM,70.759,,,,,
45,01/11/20 01:50:00  AM,70.673,,,,,
46,01/11/20 02:00:00  AM,70.974,,,,,
47,01/11/20 02:10:00  AM,70.759,,,,,
48,01/11/20 02:20:00  AM,70.716,,,,,
49,01/11/20 02:30:00  AM,70.887,,,,,
50,01/11/20 02:40:00  AM,70.716,,,,,
51,01/11/20 02:50:00  AM,70.974,,,,,
52,01/11/20 03:00:00  AM,70.716,,,,,
53,01/11/20 03:10:00  AM,71.103,,,,,
54,01/11/20 03:20:00  AM,70.803,,,,,
55,01/11/20 03:30:00  AM,71.274,,,,,
56,01/11/20 03:40:00  AM,70.846,,,,,
57,01/11/20 03:50:00  AM,71.060,,,,,
58,01/11/20 04:00:00  AM,70.759,,,,,
59,01/11/20 04:10:00  AM,71.017,,,,,
60,01/11/20 04:20:00  AM,71.231,,,,,
61,01/11/20 04:30:00  AM,70.930,,,,,
62,01/11/20 04:40:00  AM,71.190,,,,,
63,01/11/20 04:50:00  AM,71.190,,,,,
64,01/11/20 05:00:00  AM,71.017,,,,,
65,01/11/20 05:10:00  AM,71.404,,,,,
66,01/11/20 05:20:00  AM,70.930,,,,,
67,01/11/20 05:30:00  AM,71.447,,,,,
68,01/11/20 05:40:00  AM,70.930,,,,,
69,01/11/20 05:50:00  AM,71.404,,,,,
70,01/11/20 06:00:00  AM,71.404,,,,,
71,01/11/20 06:10:00  AM,71.490,,,,,
72,01/11/20 06:20:00  AM,71.060,,,,,
73,01/11/20 06:30:00  AM,71.447,,,,,
74,01/11/20 06:40:00  AM,71.060,,,,,
75,01/11/20 06:50:00  AM,71.017,,,,,
76,01/11/20 07:00:00  AM,71.361,,,,,
77,01/11/20 07:10:00  AM,71.490,,,,,
78,01/11/20 07:20:00  AM,71.533,,,,,
79,01/11/20 07:30:00  AM,71.490,,,,,
80,01/11/20 07:40:00  AM,71.704,,,,,
81,01/11/20 07:50:00  AM,71.661,,,,,
82,01/11/20 08:00:00  AM,71.577,,,,,
83,01/11/20 08:10:00  AM,71.533,,,,,
84,01/11/20 08:20:00  AM,71.577,,,,,
85,01/11/20 08:30:00  AM,71.620,,,,,
86,01/11/20 08:40:00  AM,71.704,,,,,
87,01/11/20 08:50:00  AM,71.834,,,,,
88,01/11/20 09:00:00  AM,71.877,,,,,
89,01/11/20 09:10:00  AM,71.920,,,,,
90,01/11/20 09:20:00  AM,71.964,,,,,
91,01/11/20 09:30:00  AM,72.050,,,,,
92,01/11/20 09:40:00  AM,72.093,,,,,
93,01/11/20 09:50:00  AM,72.178,,,,,
94,01/11/20 10:00:00  AM,72.221,,,,,
95,01/11/20 10:10:00  AM,72.394,,,,,
96,01/11/20 10:20:00  AM,72.437,,,,,
97,01/11/20 10:30:00  AM,72.653,,,,,
98,01/11/20 10:40:00  AM,72.696,,,,,
99,01/11/20 10:50:00  AM,72.826,,,,,
100,01/11/20 11:00:00  AM,72.912,,,,,
