Software Version,3.05.11,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Experiment File Path:,C:\Users\gump\Desktop\Putnam\20200928_Plate1_TP.xpt,,,,,,,,,,,,,
Protocol File Path:,C:\Users\Public\Documents\Protocols\BCA_Protein.prt,,,,,,,,,,,,,
Plate Number,Plate 1,,,,,,,,,,,,,
Date,9/28/2020,,,,,,,,,,,,,
Time,3:32:58 PM,,,,,,,,,,,,,
Reader Type:,Synergy HTX,,,,,,,,,,,,,
Reader Serial Number:,19041023,,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,,
Plate Type,96 WELL PLATE,,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,,
Read,562,,,,,,,,,,,,,
,Absorbance Endpoint,,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,,
,Wavelengths:  562,,,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8",,,,,,,,,,,,,
,,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,
Actual Temperature:,20.2,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,
,A,1.827,1.956,1.371,1.629,1.119,1.155,0.979,0.866,0.558,0.701,0.395,0.388,562:562
,B,0.253,0.242,0.108,0.111,0.084,0.084,0.082,0.084,1.844,1.973,1.114,1.135,562:562
,C,2.466,1.942,1.681,1.677,2.097,2.066,1.352,1.335,1.117,1.071,1.386,1.29,562:562
,D,1.83,1.445,1.479,1.47,1.462,1.542,1.317,1.853,0.644,0.717,0.619,0.554,562:562
,E,0.958,0.874,1.44,1.445,2.096,2.224,0.688,0.645,1.708,1.821,1.123,0.879,562:562
,F,1.342,1.27,0.46,0.502,1.234,1.174,0.746,0.736,0.965,0.992,1.062,1.093,562:562
,G,0.53,0.515,1.411,1.586,1.026,1.017,0.661,0.641,0.622,0.688,1.579,1.588,562:562
,H,1.77,1.793,0.574,0.555,1.219,1.403,0.625,0.575,1.273,1.288,0.509,0.494,562:562
