Well,562:562
A1,1.9
B1,0.243
C1,0.823
D1,0.897
E1,1.147
F1,1.328
G1,0.045
H1,0.044
A2,2.003
B2,0.241
C2,0.81
D2,0.769
E2,1.162
F2,1.406
G2,0.044
H2,0.044
A3,1.394
B3,0.111
C3,0.721
D3,1.269
E3,0.828
F3,1.106
G3,0.044
H3,0.044
A4,1.428
B4,0.108
C4,0.727
D4,1.256
E4,0.805
F4,1.207
G4,0.044
H4,0.045
A5,1.017
B5,0.08
C5,1.016
D5,1.354
E5,0.885
F5,0.565
G5,0.043
H5,0.044
A6,0.968
B6,0.08
C6,1.232
D6,1.474
E6,1.013
F6,0.566
G6,0.044
H6,0.044
A7,0.771
B7,0.076
C7,0.766
D7,0.633
E7,1.093
F7,1.288
G7,0.044
H7,0.044
A8,0.787
B8,0.077
C8,0.715
D8,0.649
E8,1.172
F8,1.363
G8,0.044
H8,0.044
A9,0.551
B9,1.365
C9,0.558
D9,1.133
E9,0.646
F9,1.718
G9,0.044
H9,0.044
A10,0.541
B10,1.484
C10,0.567
D10,1.274
E10,0.628
F10,2.013
G10,0.043
H10,0.045
A11,0.341
B11,0.651
C11,1.454
D11,1.129
E11,1.262
F11,1.252
G11,0.043
H11,0.044
A12,0.368
B12,0.744
C12,1.528
D12,1.239
E12,1.352
F12,1.41
G12,0.044
H12,0.043
