colony_id,Sample,Diameter,weight1.g,weight2.g,Notes
POR_216,Coral,NA,11.4103,11.6888,
ACR_210,Coral,NA,1.3859,1.9325,
ACR_175,Coral,NA,5.4017,5.7593,
POR_73,Coral,NA,8.5856,8.9085,
ACR_265,Coral,NA,3.5549,3.8049,
POR_245,Coral,NA,11.1895,11.8028,
POC_205,Coral,NA,7.8083,8.3139,
POC_257,Coral,NA,15.8635,17.0813,
POR_79,Coral,NA,12.3826,12.7118,
POR_251,Coral,NA,25.9226,26.5549,
ACR_173,Coral,NA,17.1911,18.1565,
ACR_139,Coral,NA,10.4981,11.2712,
POR_69,Coral,NA,15.4827,15.9122,
POR_74,Coral,NA,12.2604,12.5421,
POR_70,Coral,NA,17.7816,18.2598,
POC_68,Coral,NA,9.2504,10.0879,
POC_238,Coral,NA,10.4599,11.2106,
POC_47,Coral,NA,13.2869,14.1425,
POC_366,Coral,NA,24.913,26.3948,
ACR_213,Coral,NA,1.4136,1.7935,
ACR_178,Coral,NA,14.4608,15.3556,
POC_40,Coral,NA,21.0942,23.0646,
ACR_237,Coral,NA,1.752,2.2017,
POC_259,Coral,NA,9.1357,9.8732,
POC_239,Coral,NA,15.1845,16.371,
ACR_140,Coral,NA,7.9498,8.4588,
ACR_150,Coral,NA,3.9367,4.6629,
POR_82,Coral,NA,10.7595,11.0303,
ACR_190,Coral,NA,9.3562,9.832,
POR_224,Coral,NA,6.1216,6.3044,
POR_71,Coral,NA,9.4581,9.7685,
ACR_143,Coral,NA,1.766,1.9412,
POC_222,Coral,NA,17.5888,18.8716,
POR_80,Coral,NA,20.1271,20.7039,
ACR_218,Coral,NA,2.8573,3.4871,
POC_44,Coral,NA,9.5355,10.419,
POC_248,Coral,NA,9.2566,10.0322,
POC_255,Coral,NA,11.4612,12.3759,
POR_381,Coral,NA,20.8042,21.324,
ACR_229,Coral,NA,1.6387,1.9902,
POR_253,Coral,NA,9.2972,9.6693,
POR_76,Coral,NA,10.4252,10.6469,
POC_48,Coral,NA,21.0105,22.63,
ACR_220,Coral,NA,4.0517,4.8668,
POC_254,Coral,NA,15.5734,16.866,
ACR_343,Coral,NA,11.8576,12.4182,
ACR_225,Coral,NA,0.8545,1.0571,
POC_375,Coral,NA,14.8123,16.3679,
POC_45,Coral,NA,17.7317,19.3388,
POR_242,Coral,NA,28.7915,29.4059,
POR_214,Coral,NA,8.846,9.1914,
POR_262,Coral,NA,4.9544,5.0955,
ACR_244,Coral,NA,1.6378,2.0031,
POC_207,Coral,NA,8.4019,9.1445,
POC_391,Coral,NA,12.23,13.2615,
POR_240,Coral,NA,19.6803,20.3521,
POR_72,Coral,NA,6.8073,7.0931,
POC_377,Coral,NA,11.6312,12.4283,
POC_200,Coral,NA,20.6161,22.0411,
POC_53,Coral,NA,25.6052,27.8433,
POC_219,Coral,NA,12.3847,13.3378,
ACR_186,Coral,NA,17.341,18.4109,
POC_373,Coral,NA,27.1535,29.2219,
POC_52,Coral,NA,13.8042,15.1297,
POR_83,Coral,NA,11.3327,11.746,
POR_81,Coral,NA,8.0871,8.3982,
ACR_364,Coral,NA,17.1019,18.2956,
POC_201,Coral,NA,19.7895,21.3363,
POC_55,Coral,NA,13.3554,14.3177,
POR_260,Coral,NA,10.6553,11.2452,
ACR_241,Coral,NA,3.3351,3.7796,
POC_57,Coral,NA,11.3374,12.3244,
POC_43,Coral,NA,12.0125,13.0587,
POR_209,Coral,NA,12.7015,12.994,
POR_349,Coral,NA,10.6144,10.9513,
POR_362,Coral,NA,8.0605,8.2668,
POC_369,Coral,NA,17.8698,19.2121,
POR_340,Coral,NA,22.7789,23.1874,
POC_42,Coral,NA,7.2515,7.882,
POR_384,Coral,NA,5.2073,5.5394,
POR_367,Coral,NA,9.708,9.999,
POC_359,Coral,NA,10.2467,11.0062,
POR_338,Coral,NA,8.8611,9.3617,
POR_365,Coral,NA,17.3392,17.7694,
POC_372,Coral,NA,18.5413,20.2411,
POC_371,Coral,NA,17.1806,18.2972,
POC_378,Coral,NA,13.4909,14.5286,
POC_395,Coral,NA,12.3036,13.4468,
POR_383,Coral,NA,14.1601,14.6336,
POR_355,Coral,NA,7.4838,7.684,
POR_353,Coral,NA,6.2878,6.542,
POC_358,Coral,NA,16.7189,18.2468,
POR_354,Coral,NA,12.6996,12.9945,
POC_386,Coral,NA,37.343,39.8075,
POR_387,Coral,NA,3.4964,3.6749,
POR_341,Coral,NA,16.0796,16.5292,
POR_221,Coral,NA,10.4009,10.8062,
POR_357,Coral,NA,11.9214,12.2585,
POR_75,Coral,NA,7.7338,8.0464,
