colony_id,prot_ug,prot_ug.cm2,timepoint
ACR-139,13241.449742001014,386.579223091928,timepoint3
ACR-140,7836.778251157032,321.53662930509637,timepoint3
ACR-145,6745.482451286464,567.5418268669338,timepoint3
ACR-150,16763.94893038956,515.840067104778,timepoint3
ACR-173,22473.44063704751,542.2235520240702,timepoint3
ACR-175,7727.263818394289,413.0234315693833,timepoint3
ACR-178,18588.67982031423,479.01966452564557,timepoint3
ACR-186,24324.565149863734,536.3012181244661,timepoint3
ACR-190,11964.891046713245,517.2691172259752,timepoint3
ACR-210,10903.590800392401,422.9557013957357,timepoint3
ACR-213,9934.25909533193,508.3214043667258,timepoint3
ACR-218,15356.21096595516,531.5035045081954,timepoint3
ACR-220,18668.251244980533,521.1088057563288,timepoint3
ACR-225,4513.753883453765,349.61962317720537,timepoint3
ACR-229,6175.13331144384,334.1374192120433,timepoint3
ACR-237,10444.423076429666,471.4361368608054,timepoint3
ACR-241,12944.839397504265,589.474921755445,timepoint3
ACR-244,6642.875896970392,349.67883486619536,timepoint3
ACR-265,5133.059948965409,349.57526695313504,timepoint3
ACR-343,9671.653959939953,367.6980566776794,timepoint3
ACR-364,18636.09551411621,372.81496316019945,timepoint3
POC-200,27451.496303167816,468.13240594947865,timepoint3
POC-201,31654.42371843686,500.8849844529521,timepoint3
POC-205,12286.574106606595,506.7527024171337,timepoint3
POC-207,13654.304807985383,412.36888337794966,timepoint3
POC-219,16981.00011372374,414.3053880087522,timepoint3
POC-222,24948.79895893,467.9003660228269,timepoint3
POC-238,17161.87609983557,513.5996453988446,timepoint3
POC-239,17548.36381565502,352.95676481488147,timepoint3
POC-248,19416.180233949475,565.304670352575,timepoint3
POC-254,25626.87224986887,477.33522211042845,timepoint3
POC-255,22110.45567933024,559.0488659885533,timepoint3
POC-257,33635.6055499517,660.958923576716,timepoint3
POC-259,7686.144415693662,233.47182644186762,timepoint3
POC-359,20711.989633105557,613.7959031904551,timepoint3
POC-366,30758.17974641655,506.17966312255396,timepoint3
POC-369,39108.396748331696,704.0640533694512,timepoint3
POC-371,20958.934438765245,444.9576733951756,timepoint3
POC-372,39918.84937006351,579.1995364362507,timepoint3
POC-373,27847.668567495355,336.69028032270404,timepoint3
POC-375,24351.776675249803,383.334390653659,timepoint3
POC-377,14767.63779258867,420.1233993883083,timepoint3
POC-378,23977.61287022759,543.0750945753134,timepoint3
POC-386,52161.52740390807,534.8356276654067,timepoint3
POC-391,16590.080301247875,377.73735021320323,timepoint3
POC-395,28643.321496639688,595.5161072677439,timepoint3
POC-40,42585.711880310526,538.7604879302759,timepoint3
POC-42,10007.024572775785,346.04579279761634,timepoint3
POC-43,14498.41656319978,326.0302397635898,timepoint3
POC-44,21707.89255077938,565.5609835890782,timepoint3
POC-45,38050.97866059662,581.3497776982447,timepoint3
POC-47,11823.301446985246,316.6458182519735,timepoint3
POC-48,34918.84689391257,529.7420555389589,timepoint3
POC-52,17981.84723687583,327.429904372872,timepoint3
POC-53,47154.287435611885,529.4752931514247,timepoint3
POC-55,20955.882446177715,507.02766065803416,timepoint3
POC-57,6902.407672449694,163.351753208309,timepoint3
POC-68,17455.40152789749,476.1159794222538,timepoint3
POR-209,22000.068345918953,1351.8845514914676,timepoint3
POR-214,25650.360291766545,1405.2975669610855,timepoint3
POR-216,42956.02470487509,2727.3857758474583,timepoint3
POR-221,36258.669013259394,1769.278506373407,timepoint3
POR-224,17528.57227753747,1440.3392362924374,timepoint3
POR-240,40238.348432616374,1320.8820144827414,timepoint3
POR-242,46646.65772589675,1647.3657714140247,timepoint3
POR-245,57186.4768442055,2022.5276106889853,timepoint3
POR-251,31914.846602207497,1101.0606963328944,timepoint3
POR-253,22121.68391240611,1149.0909104646757,timepoint3
POR-260,46977.03720018413,1714.530262469277,timepoint3
POR-262,26077.253891717093,2457.8561974123804,timepoint3
POR-338,48416.708118410024,2012.444907288434,timepoint3
POR-340,70130.39150258954,3402.209638430071,timepoint3
POR-341,76907.06379081101,3471.9861621758673,timepoint3
POR-349,56161.33042778188,3131.445678062925,timepoint3
POR-353,16127.948506698938,1086.728453066322,timepoint3
POR-354,37932.00000369787,2318.098235636445,timepoint3
POR-355,37680.360042359396,2939.0282332727647,timepoint3
POR-357,63028.93145055597,3512.904127790854,timepoint3
POR-362,40114.51103953993,3074.170928117517,timepoint3
POR-365,57465.990011027905,2682.194944811159,timepoint3
POR-367,33452.773248973725,2062.7558681427004,timepoint3
POR-381,44294.091919103455,1787.7156641448678,timepoint3
POR-383,77313.90121378045,3354.9334119539535,timepoint3
POR-384,40262.97243418497,2267.689325914299,timepoint3
POR-69,77882.60228513033,3639.578141841819,timepoint3
POR-70,94030.75496024518,4049.442592463984,timepoint3
POR-71,57238.52849711234,3378.2459690777973,timepoint3
POR-72,32576.31590966946,2033.099383827776,timepoint3
POR-73,62347.471647929524,3580.9461317349565,timepoint3
POR-74,68637.31755281532,4325.081344728629,timepoint3
POR-75,43735.49293196155,2568.812184720383,timepoint3
POR-76,42812.53798685486,3142.2042488175703,timepoint3
POR-79,85707.36487186352,4856.8834314903925,timepoint3
POR-80,109255.260539009,4060.131350684262,timepoint3
POR-81,48722.30595476897,2871.176742898601,timepoint3
POR-82,65997.54992052566,4268.41706500207,timepoint3
POR-83,50358.847707939,2421.9417783126864,timepoint3
