well,colony_id
A1,Standard1
A2,Standard1
A3,Standard2
A4,Standard2
A5,Standard3
A6,Standard3
A7,Standard4
A8,Standard4
A9,Standard5
A10,Standard5
A11,Standard6
A12,Standard6
B1,Standard7
B2,Standard7
B3,Standard8
B4,Standard8
B5,Standard9
B6,Standard9
B7,Standard10
B8,Standard10
B9,POC-391
B10,POC-391
B11,POR-384
B12,POR-384
C1,POR-385
C2,POR-385
C3,ACR-145
C4,ACR-145
C5,ACR-150
C6,ACR-150
C7,POC-42
C8,POC-42
C9,POC-52
C10,POC-52
C11,POC-53
C12,POC-53
D1,POC-55
D2,POC-55
D3,POR-81
D4,POR-81
D5,POR-82
D6,POR-82
D7,ACR-176
D8,ACR-176
D9,ACR-185
D10,ACR-185
D11,ACR-186
D12,ACR-186
E1,ACR-187
E2,ACR-187
E3,POC-44
E4,POC-44
E5,POC-47
E6,POC-47
E7,POC-48
E8,POC-48
E9,POC-57
E10,POC-57
E11,ACR-175
E12,ACR-175
F1,ACR-178
F2,ACR-178
F3,POR-381
F4,POR-381
F5,ACR-139
F6,ACR-139
F7,POR-76
F8,POR-76
F9,POR-83
F10,POR-83
F11,ACR-173
F12,ACR-173
G1,POC-45
G2,POC-45
G3,POC-50
G4,POC-50
G5,POC-68
G6,POC-68
G7,POR-69
G8,POR-69
G9,POR-70
G10,POR-70
G11,POR-71
G12,POR-71
H1,POR-72
H2,POR-72
H3,POR-73
H4,POR-73
H5,POR-79
H6,POR-79
H7,POR-75
H8,POR-75
H9,ACR-390
H10,ACR-390
H11,POC-395
H12,POC-395
