Software Version,3.05.11,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Experiment File Path:,C:\Users\gump\Desktop\Putnam\November_E5_EEM\20201117_Plate1_TAC_final.xpt,,,,,,,,,,,,,
Protocol File Path:,C:\Users\Public\Documents\Protocols\TAC.prt,,,,,,,,,,,,,
Plate Number,Plate 1,,,,,,,,,,,,,
Date,11/17/2020,,,,,,,,,,,,,
Time,9:09:08 PM,,,,,,,,,,,,,
Reader Type:,Synergy HTX,,,,,,,,,,,,,
Reader Serial Number:,19041023,,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,,
Plate Type,96 WELL PLATE,,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,,
Read,490,,,,,,,,,,,,,
,Absorbance Endpoint,,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,,
,Wavelengths:  490,,,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8",,,,,,,,,,,,,
,,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,
Actual Temperature:,25.6,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,
,A,0.063,0.062,0.062,0.06,0.07,0.065,0.063,0.062,0.063,0.061,0.062,0.062,490:490
,B,0.062,0.06,0.061,0.06,0.068,0.062,0.061,0.062,0.233,0.244,0.325,0.348,490:490
,C,0.555,0.532,0.115,0.122,0.218,0.186,0.264,0.267,0.276,0.287,0.668,0.698,490:490
,D,0.31,0.304,0.708,0.693,0.952,0.942,0.183,0.186,0.228,0.221,0.153,0.172,490:490
,E,0.251,0.222,0.412,0.43,0.225,0.203,0.216,0.223,0.294,0.311,0.156,0.152,490:490
,F,0.212,0.23,0.588,0.546,0.156,0.143,0.52,0.568,0.552,0.495,0.147,0.156,490:490
,G,0.18,0.174,0.282,0.285,0.179,0.171,1.038,0.969,0.823,0.912,0.493,0.468,490:490
,H,0.514,0.477,0.933,0.95,0.672,0.654,0.65,0.645,0.174,0.177,0.187,0.194,490:490
