Pan.ID,colony_id,partner,initial.mass.g,dry.pan.mass.g,burnt.pan.mass.g,
1,POC-43,Host,1.1409,,,
206,POC-52,Host,,,,
3,POR-385,Host,,,,
4,POR-81,Host,,,,
5,POR-349,Host,,,,
6,POC-373,Host,,,,
7,POR-384,Host,,,,
8,POR-55,Host,,,,
9,ACR-343,Host,,,,
10,POR-357,Host,,,,
11,POR-75,Host,,,,
12,POR-340,Host,,,,
13,POR-354,Host,,,,
14,POR-353,Host,,,,
15,ACR-176,Host,,,,
16,POC-42,Host,,,,
17,ACR-187,Host,,,,
18,ACR-186,Host,,,,
19,POC-359,Host,,,,
20,POC-377,Host,,,,
21,POC-366,Host,,,,
22,POC-369,Host,,,,
23,ACR-139,Host,,,,
24,ACR-145,Host,,,,
25,POR-69,Host,,,,
26,POR-388,Host,,,,
27,ACR-368,Host,,,,
28,ACR-398,Host,,,,
29,ACR-150,Host,,,,
30,POR-74,Host,,,,
31,ACR-175,Host,,,,
32,POC-371,Sym,,,,
33,POR-73,Sym,,,,
34,ACR-180,Host,,,,
35,ACR-390,Host,,,,
36,POC-40,Host,,,,
37,POR-82,Host,,,,
38,POR-365,Sym,,,,
39,POR-75,Sym,,,,
40,POR-354,Sym,,,,
41,ACR-390,Sym,,,,
42,POC-346,Sym,,,,
43,ACR-178,Sym,,,,
44,POR-73,Host,,,,
45,POR-79,Sym,,,,
46,POC-386,Sym,,,,
47,POC-48,Sym,,,,
48,POC-52,Sym,,,,
49,POR-71,Sym,,,,
50,POC-377,Sym,,,,
51,POC-391,Sym,,,,
52,POC-371,Host,,,,
53,POR-362,Sym,,,,
54,POR-367,Sym,,,,
55,POR-74,Sym,,,,
56,POR-81,Sym,,,,
57,POR-341,Sym,,,,
58,POC-375,Sym,,,,
59,ACR-180,Sym,,,,
60,POR-72,Sym,,,,
61,ACR-185,Sym,,,,
62,POR-340,Sym,,,,
63,POC-45,Sym,,,,
64,ACR-175,Sym,,,,
65,POR-384,Sym,,,,
66,POR-69,Sym,,,,
67,POR-55,Sym,,,,
68,POC-373,Sym,,,,
69,ACR-393,Sym,,,,
70,POC-378,Sym,,,,
71,POC-369,Sym,,,,
72,POC-372,Sym,,,,
73,POR-385,Sym,,,,
74,POR-349,Sym,,,,
75,POC-44,Sym,,,,
76,ACR-398,Sym,,,,
77,POC-358,Sym,,,,
78,POR-338,Sym,,,,
79,ACR-187,Sym,,,,
80,POR-383,Sym,,,,
81,POC-40,Sym,,,,
82,POC-47,Sym,,,,
83,ACR-178,Host,,,,
84,POR-71,Host,,,,
85,POR-362,Host,,,,
86,POC-76,Host,,,,
87,POR-341,Host,,,,
88,ACR-393,Host,,,,
89,POC-394,Host,,,,
90,POR-383,Host,,,,
91,ACR-389,Host,,,,
92,POR-365,Host,,,,
93,POR-72,Host,,,,
94,POC-386,Host,,,,
95,POR-381,Host,,,,
96,POC-45,Host,,,,
97,POC-395,Host,,,,
98,POC-47,Host,,,,
99,POC-44,Host,,,,
100,POR-79,Host,,,,
101,POC-375,Host,,,,
102,ACR-343,Sym,,,,
103,POC-48,Host,,,,
104,ACR-176,Sym,,,,
105,ACR-389,Sym,,,,
106,POC-68,Sym,,,,
107,POR-353,Sym,,,,
108,POC-391,Host,,,,
109,ACR-145,Sym,,,,
110,POC-358,Host,,,,
111,POC-53,Sym,,,,
112,POC-346,Host,,,,
113,POR-367,Host,,,,
114,ACR-368,Sym,,,,
115,POC-68,Host,,,,
116,POR-70,Host,,,,
117,ACR-150,Sym,,,,
118,ACR-139,Sym,,,,
119,POR-70,Sym,,,,
120,POR-42,Sym,,,,
121,POC-57,Sym,,,,
122,POR-83,Sym,,,,
123,ACR-173,Sym,,,,
124,ACR-186,Sym,,,,
125,POR-82,Sym,,,,
126,POR-381,Sym,,,,
127,POC-359,Sym,,,,
128,POC-43,Sym,,,,
129,ACR-185,Host,,,,
130,POC-53,Host,,,,
131,POR-83,Host,,,,
132,POC-378,Host,,,,
133,POR-357,Sym,,,,
134,POC-50,Host,,,,
135,POC-372,Host,,,,
136,POC-57,Host,,,,
137,ACR-173,Host,,,,
138,POC-395,Sym,,,,
139,POR-79,Sym,,,,
140,POC-394,Sym,,,,
141,POC-366,Sym,,,,
142,POC-50,Sym,,,,
143,ACR-244,Host,,,,
144,ACR-218,Sym,,,,
145,ACR-234,Host,,,,
146,POC-248,Host,,,,
147,POC-207,Host,,,,
148,POR-251,Host,,,,
149,POC-222,Sym,,,,
150,POR-209,Host,,,,
151,ACR-237,Host,,,,
152,POC-200,Host,,,,
153,POC-255,Host,,,,
154,ACR-256,Host,,,,
155,ACR-267,Sym,,,,
156,POR-260,Host,,,,
157,POR-253,Host,,,,
158,NA,NA,,,,extra pan
159,ACR-213,Host,,,,
160,POR-262,Host,,,,
161,ACR-225,Host,,,,
162,POR-216,Sym,,,,
163,POR-216,Host,,,,
164,POR-242,Host,,,,
165,ACR-220,Host,,,,
166,ACR-241,Host,,,,
167,ACR-218,Host,,,,
168,ACR-210,Host,,,,
169,POR-214,Host,,,,
170,POC-239,Host,,,,
171,ACR-229,Host,,,,
172,POR-260,Sym,,,,
173,POC-219,Host,,,,
174,POR-221,Host,,,,
175,POC-238,Sym,,,,
176,NA,NA,,,,extra pan
177,ACR-220,Sym,,,,
178,ACR-229,Sym,,,,
179,ACR-213,Sym,,,,
180,POR-209,Sym,,,,
181,POC-254,Sym,,,,
182,POC-257,Sym,,,,
183,ACR-241,Sym,,,,
184,POC-259,Host,,,,
185,ACR-267,Host,,,,
186,POC-205,Host,,,,
187,POC-259,Sym,,,,
188,POC-219,Sym,,,,
189,POC-205,Host,,,,
190,POR-240,Sym,,,,
191,POC-257,Host,,,,
192,POR-224,Host,,,,
193,POC-222,Host,,,,
194,POR-242,Sym,,,,
195,POC-238,Host,,,,
196,POR-245,Sym,,,,
197,ACR-225,Sym,,,,
198,POC-207,Sym,,,,
199,ACR-237,Sym,,,,
200,POC-254,Host,,,,
201,POR-240,Host,,,,
202,POR-224,Sym,,,,
203,NA,NA,,,,extra pan
204,POR-262,Sym,,,,
205,POR-214,Sym,,,,
207,POR-253,Sym,,,,
208,ACR-244,Sym,,,,
209,POC-200,Sym,,,,
