well,colony_id
A1,StandardA
A2,StandardA
A3,StandardB
A4,StandardB
A5,StandardC
A6,StandardC
A7,StandardD
A8,StandardD
A9,StandardE
A10,StandardE
A11,StandardF
A12,StandardF
B1,StandardG
B2,StandardG
B3,StandardH
B4,StandardH
B5,StandardI
B6,StandardI
B7,POR-8-3
B8,POR-8-3
B9,ACR-6-3
B10,ACR-6-3
B11,POC-9-3
B12,POC-9-3
C1,POR-12-3
C2,POR-12-3
C3,POR-11-3
C4,POR-11-3
C5,ACR-4-3
C6,ACR-4-3
C7,POR-14-3
C8,POR-14-3
C9,POC-1-3
C10,POC-1-3
C11,POC-14-3
C12,POC-14-3
D1,ACR-10-3
D2,ACR-10-3
D3,ACR-9-3
D4,ACR-9-3
D5,POC-10-3
D6,POC-10-3
D7,POR-4-3
D8,POR-4-3
D9,ACR-13-3
D10,ACR-13-3
D11,ACR-12-3
D12,ACR-12-3
E1,POR-9-3
E2,POR-9-3
E3,POR-6-3
E4,POR-6-3
E5,ACR-8-3
E6,ACR-8-3
E7,POR-10-3
E8,POR-10-3
E9,POC-13-3
E10,POC-13-3
E11,ACR-1-3
E12,ACR-1-3
F1,POC-4-3
F2,POC-4-3
F3,ACR-14-3
F4,ACR-14-3
F5,POR-13-3
F6,POR-13-3
F7,POC-2-3
F8,POC-2-3
F9,ACR-2-3
F10,ACR-2-3
F11,POR-3-3
F12,POR-3-3
G1,POC-3-3
G2,POC-3-3
G3,POC-7-3
G4,POC-7-3
G5,ACR-12-2
G6,ACR-12-2
G7,ACR-3-3
G8,ACR-3-3
G9,POR-74
G10,POR-74
G11,POC-375
G12,POC-375
H1,ACR-180
H2,ACR-180
H3,POR-242
H4,POR-242
H5,ACR-13-4
H6,ACR-13-4
H7,POC-8-2
H8,POC-8-2
H9,POC-12-3
H10,POC-12-3
H11,NA
H12,NA
