colony_id,umol.cm2.hr,timepoint
ACR-234,0.00631366140005055,timepoint4
ACR-237,0.013677481251222895,timepoint4
ACR-244,0.006681111131890056,timepoint4
POC-200,0,timepoint4
POC-205,0,timepoint4
POC-207,0.0015506841931435809,timepoint4
POR-209,0.00905049739423978,timepoint4
POR-214,0.03022296077795224,timepoint4
POR-216,0.008450091672591264,timepoint4
ACR-210,4.966769182827938e-4,timepoint4
ACR-213,0,timepoint4
ACR-218,0.0034232175205696556,timepoint4
POC-219,7.679795921705189e-4,timepoint4
POC-222,0,timepoint4
POC-238,0.001332902418018517,timepoint4
POR-224,0.08221681273890875,timepoint4
POR-260,0.0022023235213135123,timepoint4
POR-240,0,timepoint4
ACR-220,0.0033149784011505742,timepoint4
ACR-225,0.004489073941846779,timepoint4
ACR-229,0.004105017880997465,timepoint4
POC-239,0,timepoint4
POC-248,0.0020297475364861183,timepoint4
POC-254,0,timepoint4
POR-221,0.024481167027890428,timepoint4
POR-242,0.006175567183440396,timepoint4
POR-245,0.004481091517452183,timepoint4
ACR-241,0.01013805459338343,timepoint4
ACR-256,0.0024649496035991946,timepoint4
ACR-267,0.02781454365692734,timepoint4
POC-255,0.004039409918135638,timepoint4
POC-257,0.0016424462625539854,timepoint4
POC-259,0.008631577103887227,timepoint4
POR-251,0.021625050930671325,timepoint4
POR-253,0.022113584286841615,timepoint4
POR-262,0.019264702319346228,timepoint4
ACR-343,0.012297507390548336,timepoint4
ACR-368,0.003089967983832562,timepoint4
POC-358,0.0012193837108072834,timepoint4
POC-359,0.0013523838057885164,timepoint4
POC-366,0.013147033879740151,timepoint4
POC-369,9.656214593737118e-4,timepoint4
POR-338,0.019334511624923667,timepoint4
POR-340,0.023652742842219958,timepoint4
POR-341,0.017858524744767727,timepoint4
ACR-396,0.00467255984765029,timepoint4
ACR-389,9.376782200091365e-4,timepoint4
POC-371,0.001799472776741127,timepoint4
POC-372,0.004032712063228303,timepoint4
POC-373,0.0011642949527162461,timepoint4
POR-349,7.671660900981064e-4,timepoint4
POR-353,0.01224827174067435,timepoint4
POR-354,0.003979574846644363,timepoint4
POR-365,0.009180098810343264,timepoint4
ACR-390,0.0029742239054567107,timepoint4
POC-375,0.003143778899711889,timepoint4
POC-377,0.003054116791571976,timepoint4
POC-378,0.005053431945280614,timepoint4
POC-386,0.0036786030997331145,timepoint4
POR-357,0.009965479321436323,timepoint4
POR-362,0.029946749465644452,timepoint4
POR-367,0.017095171559232285,timepoint4
ACR-393,0,timepoint4
POC-391,3.138974442689262e-4,timepoint4
POC-395,3.064367559060954e-4,timepoint4
POC-394,0.0011178783031290016,timepoint4
POR-381,0.021190905228189977,timepoint4
POR-383,0.017847295616712902,timepoint4
POR-384,0.0067187403869017484,timepoint4
POR-385,0.014981493872878664,timepoint4
POC-346,0.00231597229735148,timepoint4
ACR-139,0,timepoint4
ACR-145,0.00783187451393402,timepoint4
ACR-150,0,timepoint4
POC-40,0.003958246968514806,timepoint4
POC-42,6.515715196441808e-4,timepoint4
POC-43,0.0010183540907660116,timepoint4
POR-69,0.013517427086909556,timepoint4
POR-70,0,timepoint4
POR-71,0,timepoint4
ACR-173,0,timepoint4
ACR-175,0,timepoint4
ACR-176,0,timepoint4
POC-44,0,timepoint4
POC-45,0,timepoint4
POC-47,0,timepoint4
POR-72,6.384121760414201e-4,timepoint4
POR-73,0.007940263101433587,timepoint4
POR-74,0.023286820178380196,timepoint4
ACR-178,0.0033910665533992894,timepoint4
ACR-180,0.01831225513955252,timepoint4
ACR-185,0,timepoint4
POC-52,0.0031390186926825584,timepoint4
POC-53,0.0074218423310496015,timepoint4
POC-55,0.008138731196383017,timepoint4
POR-75,0.018835752477967434,timepoint4
POR-76,0.019724314939095516,timepoint4
POR-79,0.032198822973819353,timepoint4
ACR-186,0.0032224158914026077,timepoint4
ACR-187,0.007077609017275867,timepoint4
POC-57,0,timepoint4
POC-68,0.004183226480131605,timepoint4
POC-50,0,timepoint4
POC-48,0,timepoint4
POR-81,0,timepoint4
POR-82,0.012492474603661681,timepoint4
POR-83,0.012485440748841186,timepoint4
